,short_name,silhouette,davies_bouldin,calinski_harabasz,homogeneity,mean_ranks_clust,all_params,model,f_name,f_surname,f_full_name,n_clusters,mean_rnk_cl_data
2,deco_pca_Gauss,0.11218175469153252,1.9092843444724512,49.383891384103904,0.28971685335692826,5.505366524790996,"decomp;pca;n_components:32|Gauss_Mix;covariance_type:full,init_params:kmeans,n_components:9",Gauss_Mix,decomp,pca,decomp_pca,32.0,1.755366524790996
5,orig__MiniB,0.023071880252869915,2.7707832376730157,22.422391208771625,0.31972176006458164,6.448463779481472,"original;;|MiniBatchKMeans;init:k-means++,n_clusters:9",MiniBatchKMeans,original,,original_,9.0,1.6984637794814714
6,tabl__Kmean,0.20330230875325467,1.09646516369891,117.96597504398706,0.12441573440828418,6.574941868113041,"table_data;;|Kmeans;algorithm:auto,init:k-means++,n_clusters:9",Kmeans,table_data,,table_data_,9.0,1.0749418681130412
13,deco_fast_Kmean,0.042870415891986945,2.6181065828065773,13.886807340475366,0.48167105643125446,7.665244249674641,"decomp;fast_ica;n_components:32|Kmeans;algorithm:auto,init:k-means++,n_clusters:9",Kmeans,decomp,fast_ica,decomp_fast_ica,32.0,1.415244249674641
21,neur_mlp_Kmean,0.04213764748713267,2.3784229145279943,21.263729934047515,0.19690782582982164,9.605140140503782,"neural;mlp;window:30|Kmeans;algorithm:auto,init:k-means++,n_clusters:9",Kmeans,neural,mlp,neural_mlp,9.0,1.6051401405037817
23,neur_conv_Gauss,0.018727493911912477,2.8870016674185575,17.488930746463872,0.22146665527715417,9.976432290332617,"neural;conv;window:30|Gauss_Mix;covariance_type:full,init_params:kmeans,n_components:9",Gauss_Mix,neural,conv,neural_conv,9.0,1.4764322903326175
