,short_name,silhouette,davies_bouldin,calinski_harabasz,homogeneity
0,neur_mlp_Agglo,0.5971652414986846,0.35391277993587456,23.546962893725215,0.017587551354704575
1,deco_fast_Agglo,0.4182087293717673,0.3305175434986874,11.784718210105131,0.01657624611461429
2,tabl__Agglo,0.3719944151104554,0.39180925390691435,13.825907137327262,0.020517233316187048
3,tabl__Spect,0.36445824204372745,0.7374694370762214,22.403525386519682,0.03242707906629162
4,deco_pca_Agglo,0.34384309669393903,0.7326017548979833,23.664185521527866,0.10012836676474302
5,neur_lstm_Kmean,0.33355076771321573,0.8687610207640654,401.78605627778967,0.11059681882519816
6,neur_lstm_MiniB,0.3248299971534164,0.8525826803500494,388.3662874827208,0.11319179202550207
7,neur_lstm_Agglo,0.3229088359279483,0.6823742319503485,205.01790044292432,0.06344703443224839
8,orig__Agglo,0.32011954097836587,0.69427182568045,5.953298317261897,0.021649074045976366
9,neur_conv_Agglo,0.29573752144073406,0.4732820901978573,8.315067287328494,0.01808056295920835
10,deco_isom_Kmean,0.24325569721568946,1.3439831908692308,95.75312320017791,0.4421975577926924
11,deco_isom_Agglo,0.24099400277270416,1.3350244448614892,92.05829227902063,0.48637911992348304
12,deco_isom_Spect,0.23987371466599808,1.017072650055582,76.49766104810776,0.3210682246317855
13,deco_isom_MiniB,0.23294459456411487,1.3660800331368474,91.50974743883536,0.40736490101183
14,tabl__Kmean,0.21919387258186201,1.1373255258341761,128.0415597053138,0.1364830411020108
15,tabl__MiniB,0.217574578585097,1.1942969298187862,123.75776735564882,0.13234446760113447
16,neur_conv_Spect,0.2129272451295387,1.1690095506528961,10.673914768718722,0.0676791299716857
17,deco_isom_Gauss,0.2058370073127096,1.5289865974359065,81.75755560535777,0.47969471270518027
18,tabl__Gauss,0.18204003339472757,1.3843336345287762,104.18707379984039,0.17090024505810553
19,deco_pca_Kmean,0.1701018354124167,1.536149140576159,71.02214275620979,0.302917241332494
20,neur_mlp_Gauss,0.1636520990110723,1.8948033503370276,103.05114554049015,0.11790131368003649
21,deco_pca_Spect,0.16088928979104006,1.3132886353612792,51.19603976344023,0.40228810095112244
22,deco_fast_Kmean,0.15680634803584773,1.499383896239173,32.04320842186623,0.5940914102236118
23,deco_pca_MiniB,0.15099287486326549,1.6545445536898638,64.76834852354531,0.31272027895036747
24,deco_pca_Gauss,0.148140014197019,1.689169015988405,54.51899296067415,0.45909257106952317
25,neur_mlp_MiniB,0.14672895665097296,1.8791946407091005,146.117550676389,0.11205065563010987
26,deco_fast_Gauss,0.14459630880013913,1.714559710462317,28.37200719819226,0.5721094034442524
27,neur_mlp_Spect,0.14237537602132208,1.7948374639314248,109.63218891725163,0.10567994366623934
28,deco_fast_Spect,0.13418825313912908,2.1983454958183697,22.780524893918184,0.5759184833090469
29,deco_fast_MiniB,0.1333544264445363,1.793252394501864,26.640317657332247,0.5418268954291228
30,neur_mlp_Kmean,0.13099228095545515,1.8743855669888836,162.63211476890342,0.13230309405943794
31,neur_conv_MiniB,0.09756762037851172,1.8331933299366625,42.09825107612464,0.18023429636232988
32,neur_conv_Kmean,0.09705895148349865,1.846413642941322,42.90867597342017,0.16671372893426237
33,neur_conv_Gauss,0.08046348953575062,1.869041452282503,29.364077453735945,0.16826916132157244
34,orig__Spect,0.041580244712149904,2.638671697578109,16.080998031577565,0.4444933904272384
35,orig__Kmean,0.03429716021631679,2.9597316193767456,19.139894477804816,0.38051332605117627
36,orig__MiniB,0.03343792721282849,2.60071422083194,15.44176316032418,0.34991611772904163
37,orig__Gauss,0.025801344946736395,2.902763483441574,18.810739238064517,0.337554485689782
38,orig__origi,-0.012133693226641618,3.758175169818519,11.084659866830465,1.0
39,orig__rando,-0.054283971095070105,10.394591210578357,1.0103202512597906,0.048869506326689405
40,neur_lstm_Spect,-0.09294656875719738,58.87676172001027,0.48322619189907884,0.04156856446657348
