,original_n,deco_pca_Kmean,deco_pca_Agglo,deco_pca_MiniB,deco_pca_Gauss,deco_pca_Spect,deco_fast_Kmean,deco_fast_Agglo,deco_fast_MiniB,deco_fast_Gauss,deco_fast_Spect,deco_isom_Kmean,deco_isom_Agglo,deco_isom_MiniB,deco_isom_Gauss,deco_isom_Spect,tabl__Kmean,tabl__Agglo,tabl__MiniB,tabl__Gauss,tabl__Spect,neur_conv_Kmean,neur_conv_Agglo,neur_conv_MiniB,neur_conv_Gauss,neur_conv_Spect,neur_mlp_Kmean,neur_mlp_Agglo,neur_mlp_MiniB,neur_mlp_Gauss,neur_mlp_Spect,neur_lstm_Kmean,neur_lstm_Agglo,neur_lstm_MiniB,neur_lstm_Gauss,neur_lstm_Spect,orig__Kmean,orig__Agglo,orig__MiniB,orig__Gauss,orig__Spect,orig__origi,orig__rando,sp500
2018-07-02,1.037692230225786,1.0326050885156637,1.0320390465723384,1.0326050885156832,1.0254515679464842,1.0399206555612337,1.0364316315544808,1.0411449189535653,1.0320951771423301,1.036431631554011,1.0345659471928856,1.0359783947723025,1.0093264125621992,1.035978394772015,1.0368430612466908,1.038030501622043,1.0211416672357476,1.0306376475735257,1.0339599281807172,1.0292696519902964,1.03063764757349,1.0301343184651945,1.0345659471929007,1.0368430612473891,1.0353443107390217,1.0345659471927442,1.0331311155591993,1.0320390465820515,1.0391868539503768,1.0318030654610997,1.041299045798944,1.0411449189535296,1.0210186906071892,1.0411449189537085,1.0144400503038966,1.025330303788939,1.0326064637896633,1.0371265038758668,1.0421229496674533,1.038030501622071,1.0309273568738249,1.037692230225786,1.0270058516474054,0.9621999999999999
2018-07-03,1.0238208741649675,1.0177875727073362,1.0208271943216711,1.0177875727073395,1.0132616634607547,1.0071482337066544,1.0266340296843384,1.0296465002178348,1.0225340227880948,1.0266340296842171,1.026201156124871,1.0196801892282605,1.0027260840660415,1.0196801892280989,1.019495450746994,1.0283274111708782,1.0091599362576715,1.0208636582247403,1.028503040198341,1.0143152242536202,1.0208636582253539,1.0141382279917543,1.0262011561248832,1.0194954507473637,1.023901562290377,1.0262011561247228,1.0238974819563147,1.0208271943285188,1.0256993168748756,1.0178421102254231,1.029552758648831,1.0296465002177975,1.0134274717746272,1.0296465002180033,1.0172415193341946,1.0154248293770702,1.0177876066559186,1.0333164513493862,1.026060945623981,1.0283274111709009,1.0167372199358156,1.0238208741649675,1.0176517063518655,0.95940962
2018-07-05,1.0300728411199618,1.0376297873724372,1.0419249644824566,1.037629787372455,1.0176933701719428,1.0495016390454304,1.035869709604978,1.0437259950802316,1.030825981365087,1.0358697096044507,1.0361180065570161,1.022830993465192,1.0049915344788933,1.0228309934649877,1.0395247619796553,1.0301179462822907,1.0207929311064767,1.0321315760032288,1.036901613927793,1.0157197531004225,1.0321315760039047,1.0323328937721434,1.0361180065570708,1.0395247619801913,1.0308228097878502,1.0361180065568953,1.0290183074952595,1.041924964493581,1.039701633982812,1.0326042155896287,1.0439804611854027,1.0437259950801923,1.0221006344829877,1.0437259950770454,1.0213888081330318,1.0346793572115047,1.0376339361097482,1.054604653457797,1.0370414404553485,1.0301179462823034,1.0339803929617313,1.0300728411199618,1.0309411962736204,0.9604649705820001
2018-07-06,1.048291098589251,1.0612920417455691,1.0712032570890677,1.0612920417455902,1.0408922834592214,1.116125300239693,1.0510546569582728,1.0665692273005425,1.0553036295473457,1.0510546569571941,1.0533993058230602,1.0435725649870122,1.0144275892532446,1.043572564986863,1.073696161560862,1.052523611596094,1.040004652044892,1.055447404251953,1.0534418660199336,1.0332687172252715,1.0554474042526554,1.063169620081519,1.0533993058231448,1.0736961615617513,1.0530350559407,1.053399305822909,1.0446892200643967,1.071203257108316,1.0619877281587162,1.0510197470303446,1.0665342523320045,1.0665692273005192,1.0352679132559872,1.0665692272987115,1.029885338889626,1.0606487434002079,1.0613032666598385,1.0846480931860338,1.0614089750325542,1.0525236115962249,1.0536670519872569,1.048291098589251,1.0482680434978398,0.9663238069025503
2018-07-09,1.052855020813512,1.0611159803110657,1.0928880375854966,1.061115980311098,1.0647322151806258,1.1490547644501903,1.0650767712910627,1.0859509095275917,1.0817701407028353,1.0650767712907865,1.0747302300743558,1.0463742412848915,1.026544052263974,1.0463742412847397,1.0795412346320834,1.0784655255050934,1.0534760138745753,1.089991483410183,1.0656543610563667,1.0352369257257168,1.0899914834106958,1.0681282643148833,1.074730230074457,1.0795412346328213,1.0749613401997025,1.074730230074137,1.077428796373402,1.0928880376072125,1.0884786746733015,1.0488867779917506,1.085461737537711,1.0859509095276094,1.0516586958684662,1.0859509095258708,1.0566454945967914,1.0812927071309013,1.0611291700625332,1.1153240294299882,1.0904825598395067,1.078465525505281,1.0523369882129339,1.052855020813512,1.0660404946251414,0.9731847059315585
2018-07-11,1.042928366323767,1.0385604651092137,1.0627916509905373,1.038560465109266,1.0390616354175075,1.1100458527619228,1.0523138044373803,1.055221238887602,1.065190199120821,1.052313804437084,1.0597385370559964,1.0255443793314571,1.0125132712206149,1.0255443793313779,1.053659031785845,1.0535116333966084,1.0401113969744178,1.068479994326287,1.0516725470136181,1.016017398902928,1.068479994326874,1.0439524366598343,1.0597385370560826,1.0536590317864174,1.0448603848020397,1.0597385370558385,1.0714004873735536,1.0627916510081004,1.063142258702149,1.0268283829107425,1.0549824624166597,1.0552212388875606,1.0261313746534546,1.0552212388830433,1.0435213445467137,1.0529660427511265,1.0385711974450669,1.0914680087411552,1.064990022706812,1.0535116333967642,1.0309759367043183,1.042928366323767,1.039746380660035,0.9294887126352315
2018-07-12,1.062002421202074,1.0483212788982372,1.06851443038763,1.0483212788983212,1.0550287093959514,1.1575708345042994,1.0595919450062838,1.0579955764472657,1.0802422252287456,1.0595919450054525,1.0655991942900096,1.044638659654303,1.0295891848798928,1.0446386596539567,1.07044077462131,1.0715019003279624,1.0612011368555458,1.0861648533786503,1.0663851860357976,1.0370393304897665,1.0861648533792516,1.062742489615378,1.065599194290118,1.070440774622036,1.0610352505915233,1.065599194289867,1.0769761821661983,1.0685144304086969,1.0817917999958024,1.0329734504228896,1.0573662022227726,1.0579955764471594,1.0352071874362352,1.05799557644051,1.0554973070239302,1.0608174974529165,1.0483343569492227,1.109169950827387,1.0649642635783154,1.0715019003280954,1.0429503294539124,1.062002421202074,1.0522579647723216,0.9678765964670665
2018-07-13,1.04491681693224,1.0402854134258226,1.0650647281913095,1.040285413425915,1.0542979282580314,1.1611318291221084,1.044202079491891,1.064109993488759,1.062701375195656,1.0442020794913187,1.0500688746105802,1.0462988579332928,1.0343594000574505,1.0462988579329005,1.0633039435884477,1.086277480515943,1.0619537558911942,1.1017183568731186,1.0620917471744964,1.0359269590807678,1.1017183568736357,1.0528280729207025,1.0500688746106992,1.0633039435892813,1.0691938147878106,1.050068874610492,1.0526644306068267,1.065064728216896,1.0957456930921385,1.025503674163222,1.0641112513883666,1.0641099934886569,1.0329230584702866,1.0641099934786273,1.0609130911630935,1.0545688573776004,1.0402961649577158,1.1224508630797454,1.0592164148103378,1.0862774805161022,1.0369631503826013,1.04491681693224,1.0549370406342575,0.960811097312857
2018-07-16,1.0260355493193962,1.0262584942011117,1.0564141647261711,1.0262584942011963,1.0462514222872876,1.1257476739342829,1.026093870417863,1.0497313120539937,1.0512213604302005,1.0260938704174594,1.0344025299798405,1.031319004705711,1.015388107188143,1.0313190047054555,1.0536862254273722,1.069121802237086,1.0337136629874915,1.0741295117759038,1.0396100524886882,1.0207621160306566,1.0741295117766276,1.042966185322258,1.034402529979938,1.0536862254283845,1.0544353681067187,1.034402529979816,1.0361622818925649,1.0564141647515892,1.076038169258112,1.009113829323641,1.0487547361646048,1.0497313120539038,1.0179682357854467,1.0497313120445646,1.0372639423218586,1.045664057037072,1.0262715044175612,1.0967195741695914,1.0493262678955144,1.0691218022372753,1.020671438392708,1.0260355493193962,1.0393198698432475,0.9632131250561391
2018-07-17,1.034015803954451,1.036223528745163,1.0681162955111718,1.0362235287452388,1.0534658925154057,1.1664643900508942,1.0392643154612855,1.0575373703247264,1.0617071836540342,1.03926431546075,1.0484371963534387,1.03670992171372,1.0116423193845565,1.0367099217134395,1.058700650213068,1.0737721928669564,1.0374927684493764,1.0777418551654125,1.038825683397276,1.0274841740926473,1.0777418551657645,1.0493460741507803,1.0484371963535595,1.0587006502141945,1.0595663906779793,1.0484371963534507,1.0227477916101801,1.0681162955383967,1.075835366294874,1.0166455473312843,1.0562752353348903,1.0575373703246416,1.02968568500063,1.0575373703148245,1.03368092841788,1.0586672506079942,1.0362388420934796,1.1062378420277215,1.0307916771939918,1.0737721928671862,1.031121283057843,1.034015803954451,1.0524793728707467,0.9643689808062066
