,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,-0.0023521159309893847,-0.1754063069820404,0.12255750596523285,-0.04371434077620506,-0.03249465674161911,0.022927062585949898,0.1316353976726532,-0.24041950702667236,0.06004667654633522,-0.2670257091522217,0.1189298927783966,-0.0017349536065012217,0.14504936337471008,-0.046224549412727356,0.19361408054828644,-0.08714006096124649,0.1083146408200264,-0.09887325018644333
AAL,-0.002452760934829712,-0.1754092425107956,0.12260325998067856,-0.04362501949071884,-0.03259103000164032,0.022955292835831642,0.13159801065921783,-0.24047663807868958,0.06004580855369568,-0.26703253388404846,0.11890491098165512,-0.0017089387401938438,0.14497055113315582,-0.04630960151553154,0.1936168372631073,-0.08705031126737595,0.10838007181882858,-0.09888503700494766
AAP,-0.0023335444275289774,-0.17540091276168823,0.12255443632602692,-0.043717239052057266,-0.03247637301683426,0.022930026054382324,0.13163234293460846,-0.2404019832611084,0.06004488840699196,-0.26702389121055603,0.1189442053437233,-0.0017222939059138298,0.1450648158788681,-0.04621127247810364,0.19361087679862976,-0.0871402844786644,0.10831539332866669,-0.09886615723371506
AAPL,-0.002335922559723258,-0.1754024773836136,0.1225518211722374,-0.04371911287307739,-0.0324774906039238,0.022930167615413666,0.131632998585701,-0.24040693044662476,0.060048721730709076,-0.26702678203582764,0.11894170939922333,-0.0017269625095650554,0.14506316184997559,-0.04620980843901634,0.19361747801303864,-0.0871446430683136,0.10831313580274582,-0.09886521846055984
ABBV,-0.002239889930933714,-0.1753864735364914,0.12252166867256165,-0.04375607147812843,-0.032387468963861465,0.022928807884454727,0.13162042200565338,-0.240326926112175,0.060037486255168915,-0.267009437084198,0.11899013817310333,-0.0017050973838195205,0.14514093101024628,-0.04613589495420456,0.1936047226190567,-0.08719173073768616,0.10829293727874756,-0.09884466230869293
ABC,-0.0023628303315490484,-0.17540904879570007,0.12255960702896118,-0.04372232034802437,-0.03250214084982872,0.02292090840637684,0.13165539503097534,-0.24043329060077667,0.06005227938294411,-0.2670332193374634,0.1189238429069519,-0.001740828505717218,0.14504092931747437,-0.04623192176222801,0.19361574947834015,-0.08713480085134506,0.10830894112586975,-0.09887473285198212
ABMD,-0.0024652734864503145,-0.17540991306304932,0.12260378897190094,-0.043605558574199677,-0.03259935602545738,0.022965464740991592,0.13157328963279724,-0.24048520624637604,0.06004886329174042,-0.2670333683490753,0.1189073771238327,-0.001701920060440898,0.14496652781963348,-0.046312879770994186,0.19363301992416382,-0.08704392611980438,0.10839350521564484,-0.0988805890083313
ABT,-0.002304373076185584,-0.17539335787296295,0.12254675477743149,-0.04371361434459686,-0.03244948759675026,0.022937359288334846,0.131608784198761,-0.24037159979343414,0.06003761291503906,-0.26701411604881287,0.11896471679210663,-0.0017054486088454723,0.14509008824825287,-0.04618888348340988,0.1936076283454895,-0.0871490091085434,0.10832074284553528,-0.09885808825492859
ACN,-0.0023735924623906612,-0.17540709674358368,0.12256505340337753,-0.04370167851448059,-0.03251142054796219,0.022933220490813255,0.13163727521896362,-0.24043765664100647,0.06005452200770378,-0.267035573720932,0.11892729997634888,-0.0017287327209487557,0.14503388106822968,-0.046238578855991364,0.1936241090297699,-0.08711966872215271,0.10832437127828598,-0.09886996448040009
ADI,-0.002278387313708663,-0.17539802193641663,0.12253421545028687,-0.04375283420085907,-0.03242941200733185,0.022915005683898926,0.1316346824169159,-0.2403583973646164,0.06003063917160034,-0.26700520515441895,0.11895573884248734,-0.00173348025418818,0.14510640501976013,-0.04617230221629143,0.1935916244983673,-0.08718797564506531,0.10828962922096252,-0.09886855632066727
ADM,-0.002347546396777034,-0.17540057003498077,0.12256121635437012,-0.04370041936635971,-0.03248932212591171,0.02293727919459343,0.13162145018577576,-0.24040943384170532,0.06004537269473076,-0.2670252025127411,0.11894329637289047,-0.001714859390631318,0.14505477249622345,-0.046222273260354996,0.19361436367034912,-0.0871254950761795,0.10832773149013519,-0.09886550158262253
ADP,-0.00240677734836936,-0.1754109412431717,0.12257746607065201,-0.04367992281913757,-0.032543569803237915,0.022936850786209106,0.1316305696964264,-0.2404600828886032,0.06005384027957916,-0.2670368254184723,0.11891354620456696,-0.001729957410134375,0.14500783383846283,-0.046265967190265656,0.19362463057041168,-0.08709907531738281,0.10833850502967834,-0.09887786209583282
ADSK,-0.0024318357463926077,-0.1754150390625,0.12258776277303696,-0.04366597533226013,-0.03256938233971596,0.022936541587114334,0.13162751495838165,-0.24047721922397614,0.06005065143108368,-0.2670353651046753,0.11889977753162384,-0.0017349086701869965,0.1449873447418213,-0.04628856107592583,0.19362123310565948,-0.08708631992340088,0.10834680497646332,-0.09888686239719391
AEE,-0.002388556022197008,-0.17540034651756287,0.12257374078035355,-0.0436621755361557,-0.032521478831768036,0.022956866770982742,0.13160207867622375,-0.24043937027454376,0.060058314353227615,-0.2670396864414215,0.11894277483224869,-0.0016965698450803757,0.14502745866775513,-0.04624638706445694,0.19363898038864136,-0.08708709478378296,0.10835669934749603,-0.0988571047782898
AEP,-0.0024028706829994917,-0.17540180683135986,0.12257800996303558,-0.043657924979925156,-0.03253289684653282,0.02295835316181183,0.131608247756958,-0.24045290052890778,0.06006384640932083,-0.26704663038253784,0.11893870681524277,-0.0016963628586381674,0.14501649141311646,-0.04625588282942772,0.19364452362060547,-0.08707613497972488,0.108359694480896,-0.09885656833648682
AES,-0.0023149880580604076,-0.17539368569850922,0.12254802137613297,-0.043707460165023804,-0.032455358654260635,0.02294332906603813,0.1316087692975998,-0.24038325250148773,0.06004779413342476,-0.26702404022216797,0.11896610260009766,-0.0017006838461384177,0.14508387446403503,-0.04619164019823074,0.19362297654151917,-0.08713981509208679,0.10832622647285461,-0.09885019809007645
AFL,-0.0023482588585466146,-0.17540502548217773,0.12255783379077911,-0.04371476173400879,-0.03249078243970871,0.02292667329311371,0.13163553178310394,-0.24041512608528137,0.06004498153924942,-0.26702436804771423,0.1189335361123085,-0.0017309478716924787,0.14505308866500854,-0.046222783625125885,0.193611279129982,-0.08713848888874054,0.10831526666879654,-0.09887218475341797
AIG,-0.0024047521874308586,-0.1754167377948761,0.12257429957389832,-0.043705765157938004,-0.032543838024139404,0.022922126576304436,0.1316598355770111,-0.24046798050403595,0.060055769979953766,-0.2670394778251648,0.11889921128749847,-0.0017535948427394032,0.1450047791004181,-0.04626595973968506,0.19361908733844757,-0.08711595088243484,0.1083168163895607,-0.09888578206300735
AIZ,-0.0023475049529224634,-0.17540526390075684,0.12255291640758514,-0.04371793568134308,-0.032487060874700546,0.022928182035684586,0.13163651525974274,-0.24041810631752014,0.06005195155739784,-0.26702967286109924,0.1189354732632637,-0.0017320825718343258,0.14505508542060852,-0.04621683433651924,0.19362196326255798,-0.087142713367939,0.10831344127655029,-0.09886699914932251
