,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.08884105086326599,0.07788804173469543,-0.009019546210765839,-0.028489185497164726,0.012578703463077545,-0.06389898806810379,0.13806946575641632,-0.0684361681342125,0.09298902750015259,-0.09349438548088074,-0.02966214157640934,-0.06042841821908951,-0.07800059020519257,0.0431605726480484,0.020297886803746223,0.01817166805267334,0.02266242727637291,0.1323993057012558
AAL,0.13880512118339539,0.09127742797136307,0.011777089908719063,-0.07187613099813461,0.016253121197223663,-0.05037393048405647,0.1414424329996109,-0.05420844256877899,0.10221690684556961,-0.08495880663394928,-0.01953863725066185,-0.04035913944244385,-0.12944920361042023,0.0478547029197216,-0.018239090219140053,0.034592412412166595,0.01732153259217739,0.12227945774793625
AAP,0.12138444185256958,0.08626306056976318,0.0018742927350103855,-0.057349588721990585,0.007350686006247997,-0.0796164944767952,0.15622949600219727,-0.06884754449129105,0.07917185872793198,-0.10340766608715057,-0.03517598658800125,-0.06533953547477722,-0.0656796544790268,0.05956336855888367,-0.017123140394687653,0.05375644937157631,0.030027806758880615,0.12414827197790146
AAPL,0.10825810581445694,0.08326244354248047,-0.008078724145889282,-0.04242713749408722,0.014567170292139053,-0.07487961649894714,0.14123521745204926,-0.0831323191523552,0.10465684533119202,-0.1073732078075409,-0.02825702540576458,-0.06030748784542084,-0.061031416058540344,0.03216097876429558,0.022541163489222527,0.007792622782289982,0.007588501088321209,0.11703092604875565
ABBV,0.09829249978065491,0.08153296262025833,-0.0030259594786912203,-0.05046232417225838,0.0153904864564538,-0.06975443661212921,0.14128167927265167,-0.06509501487016678,0.09196631610393524,-0.10932006686925888,-0.03315351903438568,-0.04469434171915054,-0.07925356924533844,0.06093761697411537,0.01448088325560093,0.027244212105870247,0.010458712466061115,0.10360149294137955
ABC,0.1078760027885437,0.062292858958244324,0.007017793133854866,-0.05725109949707985,0.021905316039919853,-0.09007400274276733,0.1197279766201973,-0.06257732957601547,0.07425696402788162,-0.09982779622077942,-0.03574968874454498,-0.040401872247457504,-0.08125331252813339,0.0774664506316185,-0.005324963014572859,0.03104366920888424,0.043874341994524,0.10646337270736694
ABMD,0.11053769290447235,0.07771425694227219,0.019291933625936508,-0.056528061628341675,0.02635207399725914,-0.06695233285427094,0.11646761000156403,-0.09945570677518845,0.12967915832996368,-0.07367078959941864,-0.016744080930948257,-0.057598840445280075,-0.06186448037624359,0.05016569048166275,0.006644099485129118,-0.0006106996443122625,0.010071713477373123,0.15453968942165375
ABT,0.10500308871269226,0.08798347413539886,0.005441061686724424,-0.03912844508886337,0.021188747137784958,-0.07285881787538528,0.1378270387649536,-0.05504487454891205,0.10209096968173981,-0.11130169034004211,-0.033833108842372894,-0.046553198248147964,-0.07511185109615326,0.05331142991781235,0.020748237147927284,0.0155327208340168,0.03180910646915436,0.1158142164349556
ACN,0.10756994783878326,0.0950370654463768,0.003048218321055174,-0.05278393626213074,0.015658151358366013,-0.055860843509435654,0.1569661647081375,-0.06857525557279587,0.09351465106010437,-0.1050344854593277,-0.02734322100877762,-0.042067114263772964,-0.072617307305336,0.05279884859919548,0.0002667810767889023,0.03307165205478668,0.028663884848356247,0.12457718700170517
ADI,0.11161739379167557,0.07876837253570557,-0.0016193529590964317,-0.035952914506196976,0.011520905420184135,-0.05394589155912399,0.14793148636817932,-0.06361545622348785,0.09715813398361206,-0.10032182186841965,-0.03626887872815132,-0.0529758557677269,-0.06250607967376709,0.041059691458940506,0.008821617811918259,0.025113927200436592,0.03999685123562813,0.15948861837387085
ADM,0.1037181094288826,0.06863848865032196,-0.0014499365352094173,-0.05369294434785843,0.011116092093288898,-0.07315272092819214,0.14413553476333618,-0.06355355679988861,0.08539173752069473,-0.10199403762817383,-0.021227015182375908,-0.04849085211753845,-0.08049122989177704,0.05769160017371178,-0.01696266606450081,0.0422368049621582,0.03096257708966732,0.12093210965394974
ADP,0.10897333920001984,0.0810001865029335,-0.0013655482325702906,-0.057071153074502945,0.023344172164797783,-0.06747502833604813,0.1501542180776596,-0.06185760721564293,0.10204683244228363,-0.08811193704605103,-0.0339229516685009,-0.04706059396266937,-0.07731732726097107,0.059535473585128784,0.0021663978695869446,0.03473391756415367,0.034034859389066696,0.11520810425281525
ADSK,0.11369114369153976,0.076363205909729,-0.0007936400361359119,-0.04436294361948967,0.016127193346619606,-0.06366249173879623,0.1539962738752365,-0.06936563551425934,0.0895017609000206,-0.08499369025230408,-0.02359722927212715,-0.055730488151311874,-0.039828695356845856,0.05584908276796341,-0.004743798170238733,0.027535859495401382,0.0195204708725214,0.13196046650409698
AEE,0.10773462057113647,0.08364070951938629,-0.0007884271908551455,-0.047027744352817535,0.019308723509311676,-0.08025062829256058,0.13845373690128326,-0.0750410407781601,0.08156657218933105,-0.1079658791422844,-0.032704006880521774,-0.05557774379849434,-0.0782269686460495,0.05338641628623009,0.014992350712418556,0.04850186035037041,0.02625683881342411,0.1044171154499054
AEP,0.10006637871265411,0.0809798389673233,-0.0029116906225681305,-0.05128277838230133,0.01705871894955635,-0.0717429369688034,0.14178182184696198,-0.06516742706298828,0.08122563362121582,-0.09597396105527878,-0.030497564002871513,-0.048126429319381714,-0.07622865587472916,0.05503039062023163,0.013043863698840141,0.040748946368694305,0.019010283052921295,0.10277312994003296
