,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.14425499737262726,0.07377669960260391,0.08099282532930374,-0.0027056392282247543,-0.022474274039268494,0.027383942157030106,-0.10666780173778534,-0.17720529437065125,0.21036681532859802,-0.10815645009279251,0.27464815974235535,-0.3595625162124634,-0.0978492870926857,0.1616615355014801,-0.11617833375930786,-0.265112966299057,0.045581527054309845,-0.15746842324733734
AAL,0.14423906803131104,0.07381516695022583,0.08101058006286621,-0.002674749121069908,-0.02251226268708706,0.027536431327462196,-0.10684807598590851,-0.1772058606147766,0.2103075385093689,-0.1082664504647255,0.274666428565979,-0.359649121761322,-0.09783076494932175,0.16169524192810059,-0.11612579226493835,-0.2650255262851715,0.045522112399339676,-0.15747809410095215
AAP,0.14424817264080048,0.07376130670309067,0.08099556714296341,-0.0026883669197559357,-0.02246633917093277,0.027359506115317345,-0.10663527995347977,-0.1772049516439438,0.21034203469753265,-0.10814584791660309,0.2746403217315674,-0.3595298230648041,-0.09784867614507675,0.16167259216308594,-0.11618538945913315,-0.26512035727500916,0.04559897631406784,-0.15745896100997925
AAPL,0.1442480981349945,0.0737682431936264,0.08099190145730972,-0.002694694558158517,-0.022465774789452553,0.027367794886231422,-0.10664248466491699,-0.17720261216163635,0.21035459637641907,-0.10815057158470154,0.27463990449905396,-0.3595455288887024,-0.09785270690917969,0.16166910529136658,-0.1161840483546257,-0.26512619853019714,0.0455981008708477,-0.1574588119983673
ABBV,0.14423929154872894,0.07369865477085114,0.0810011550784111,-0.002644998487085104,-0.02243790403008461,0.02719983458518982,-0.1064680814743042,-0.177217036485672,0.2102658897638321,-0.1080787405371666,0.2745831608772278,-0.3593839406967163,-0.09786368161439896,0.16169637441635132,-0.11622296273708344,-0.26517927646636963,0.045674633234739304,-0.15741513669490814
ABC,0.14425691962242126,0.07379113137722015,0.08098457753658295,-0.002725423313677311,-0.022471759468317032,0.02742033079266548,-0.10668521374464035,-0.177196204662323,0.21041452884674072,-0.10815297812223434,0.2746718227863312,-0.3595983386039734,-0.09784360975027084,0.16164420545101166,-0.11617817729711533,-0.2651101350784302,0.04556998237967491,-0.1574833244085312
ABMD,0.14423203468322754,0.07382276654243469,0.08101700246334076,-0.0026515540666878223,-0.022521287202835083,0.027540547773241997,-0.10687745362520218,-0.17721250653266907,0.21027103066444397,-0.10830023884773254,0.27464303374290466,-0.35965630412101746,-0.09784425050020218,0.16170784831047058,-0.1161101907491684,-0.26502788066864014,0.04552515596151352,-0.1574590653181076
ABT,0.1442406326532364,0.07373274117708206,0.08100738376379013,-0.0026492527686059475,-0.02246279828250408,0.027292674407362938,-0.10658357292413712,-0.1772167682647705,0.2102687507867813,-0.10813764482736588,0.2746044993400574,-0.3594585359096527,-0.09785529971122742,0.1616986244916916,-0.11619216203689575,-0.2651325762271881,0.04562877118587494,-0.1574324667453766
ACN,0.14424701035022736,0.07379551231861115,0.08098863065242767,-0.0027072548400610685,-0.022474966943264008,0.02744000032544136,-0.10671282559633255,-0.17719484865665436,0.21038448810577393,-0.10818236321210861,0.2746634781360626,-0.3596098721027374,-0.09784790873527527,0.1616620123386383,-0.11616761237382889,-0.26510530710220337,0.045571219176054,-0.15747372806072235
ADI,0.1442626565694809,0.07371879369020462,0.08100125193595886,-0.0026849345304071903,-0.022458383813500404,0.027234937995672226,-0.10652263462543488,-0.1772238314151764,0.2103131115436554,-0.10808134078979492,0.27460888028144836,-0.3594248592853546,-0.09785224497318268,0.16166865825653076,-0.1162133440375328,-0.26514625549316406,0.045629020780324936,-0.15744595229625702
