"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26 окт. 2020 г.","13,540","13,078","13,709","12,978","","4,53%"
"23 окт. 2020 г.","12,953","12,832","13,011","12,828","","0,02%"
"22 окт. 2020 г.","12,950","13,047","13,101","12,837","","-0,97%"
"21 окт. 2020 г.","13,078","13,262","13,308","12,966","","-1,71%"
"20 окт. 2020 г.","13,305","13,239","13,321","13,036","","0,19%"
"19 окт. 2020 г.","13,280","12,861","13,347","12,856","","1,98%"
"16 окт. 2020 г.","13,022","12,822","13,031","12,598","","1,14%"
"15 окт. 2020 г.","12,876","13,142","13,179","12,804","","0,83%"
"14 окт. 2020 г.","12,770","12,821","12,921","12,639","","-0,45%"
"13 окт. 2020 г.","12,828","12,967","13,100","12,781","","-0,16%"
"12 окт. 2020 г.","12,848","12,818","12,966","12,797","","-1,21%"
"09 окт. 2020 г.","13,005","13,275","13,275","12,914","","-3,32%"
"08 окт. 2020 г.","13,452","13,660","13,759","13,437","","-2,46%"
"07 окт. 2020 г.","13,792","13,819","13,833","13,660","","-1,04%"
"06 окт. 2020 г.","13,937","13,772","14,049","13,640","","0,32%"
"05 окт. 2020 г.","13,893","14,103","14,170","13,836","","-2,48%"
"02 окт. 2020 г.","14,246","14,301","14,330","14,052","","1,53%"
"01 окт. 2020 г.","14,030","13,786","14,090","13,754","","0,80%"
"30 сент. 2020 г.","13,919","13,743","13,938","13,698","","1,07%"
"29 сент. 2020 г.","13,771","13,991","13,995","13,714","","-1,17%"
"28 сент. 2020 г.","13,934","13,967","14,062","13,924","","-1,21%"
"25 сент. 2020 г.","14,105","14,410","14,481","14,099","","-2,19%"
"24 сент. 2020 г.","14,421","14,588","14,682","14,220","","0,05%"
"23 сент. 2020 г.","14,413","14,091","14,526","14,080","","1,82%"
"22 сент. 2020 г.","14,156","14,024","14,358","14,012","","0,96%"
"21 сент. 2020 г.","14,021","14,049","14,382","13,863","","2,55%"
"18 сент. 2020 г.","13,672","13,616","13,940","13,417","","0,33%"
"17 сент. 2020 г.","13,628","14,171","14,197","13,627","","-0,96%"
"16 сент. 2020 г.","13,759","13,749","13,849","13,482","","0,70%"
"15 сент. 2020 г.","13,663","13,752","14,117","13,652","","-2,96%"
"14 сент. 2020 г.","14,079","13,953","14,096","13,698","","-1,63%"
"11 сент. 2020 г.","14,313","14,523","14,932","14,119","","-2,51%"
"10 сент. 2020 г.","14,682","14,658","15,233","14,577","","-1,01%"
"09 сент. 2020 г.","14,831","14,950","15,088","14,582","","-2,10%"
"08 сент. 2020 г.","15,149","16,446","16,515","15,149","","-4,39%"
"04 сент. 2020 г.","15,844","15,978","16,939","15,511","","-2,73%"
"03 сент. 2020 г.","16,289","15,772","16,688","15,541","","2,72%"
"02 сент. 2020 г.","15,857","15,316","15,857","15,313","","3,55%"
"01 сент. 2020 г.","15,313","15,216","15,402","15,137","","0,77%"
"31 авг. 2020 г.","15,197","14,856","15,237","14,762","","2,89%"
"28 авг. 2020 г.","14,770","14,786","15,058","14,586","","0,45%"
"27 авг. 2020 г.","14,705","14,448","15,231","14,375","","1,28%"
"26 авг. 2020 г.","14,518","14,218","14,562","14,107","","1,92%"
"25 авг. 2020 г.","14,245","14,304","14,588","14,238","","-0,38%"
"24 авг. 2020 г.","14,299","14,079","14,344","14,058","","0,08%"
"21 авг. 2020 г.","14,288","14,271","14,361","14,186","","1,20%"
"20 авг. 2020 г.","14,118","14,433","14,445","14,042","","-0,31%"
"19 авг. 2020 г.","14,163","13,923","14,194","13,891","","1,57%"
"18 авг. 2020 г.","13,943","13,899","14,123","13,842","","0,32%"
"17 авг. 2020 г.","13,898","14,067","14,147","13,889","","-2,75%"
"14 авг. 2020 г.","14,291","14,274","14,431","14,193","","1,07%"
"13 авг. 2020 г.","14,140","14,147","14,272","13,943","","0,30%"
"12 авг. 2020 г.","14,098","14,132","14,204","13,956","","-2,41%"
"11 авг. 2020 г.","14,445","13,870","14,480","13,844","","2,47%"
"10 авг. 2020 г.","14,097","14,165","14,310","14,026","","-1,39%"
"07 авг. 2020 г.","14,295","14,416","14,463","14,186","","0,39%"
"06 авг. 2020 г.","14,240","14,392","14,451","14,185","","-0,66%"
"05 авг. 2020 г.","14,335","14,288","14,450","14,264","","-0,38%"
"04 авг. 2020 г.","14,390","14,737","14,737","14,390","","-2,44%"
"03 авг. 2020 г.","14,750","14,708","14,869","14,676","","-0,53%"
"31 июл. 2020 г.","14,829","14,727","15,234","14,719","","-0,05%"
"30 июл. 2020 г.","14,837","15,159","15,591","14,814","","0,72%"
"29 июл. 2020 г.","14,731","14,731","14,850","14,676","","-0,83%"
"28 июл. 2020 г.","14,855","14,872","14,948","14,642","","0,33%"
"27 июл. 2020 г.","14,807","14,879","15,060","14,795","","-1,25%"
"24 июл. 2020 г.","14,994","15,011","15,194","14,863","","1,19%"
"23 июл. 2020 г.","14,817","14,480","14,928","14,392","","2,79%"
"22 июл. 2020 г.","14,414","14,650","14,808","14,393","","-0,74%"
"21 июл. 2020 г.","14,522","14,223","14,635","14,114","","0,59%"
"20 июл. 2020 г.","14,436","14,843","14,881","14,366","","-3,74%"
"17 июл. 2020 г.","14,996","15,094","15,201","14,850","","-1,95%"
"16 июл. 2020 г.","15,295","15,527","15,551","15,185","","-0,09%"
"15 июл. 2020 г.","15,308","15,221","15,712","15,219","","-1,14%"
"14 июл. 2020 г.","15,485","16,079","16,314","15,410","","-3,80%"
"13 июл. 2020 г.","16,096","15,005","16,186","15,005","","6,52%"
"10 июл. 2020 г.","15,111","15,275","15,480","15,038","","-1,19%"
"09 июл. 2020 г.","15,294","15,039","15,516","15,002","","2,06%"
"08 июл. 2020 г.","14,985","15,066","15,343","14,930","","-1,76%"
"07 июл. 2020 г.","15,254","14,962","15,266","14,686","","2,60%"
"06 июл. 2020 г.","14,868","14,443","14,958","14,440","","0,31%"
"02 июл. 2020 г.","14,821","14,567","15,018","14,378","","-2,04%"
"01 июл. 2020 г.","15,130","15,292","15,510","15,003","","-2,95%"
"30 июн. 2020 г.","15,590","16,476","16,491","15,378","","-3,94%"
"29 июн. 2020 г.","16,229","16,883","17,416","16,142","","-5,84%"
"26 июн. 2020 г.","17,236","16,207","17,359","16,185","","7,11%"
"25 июн. 2020 г.","16,092","17,103","17,447","16,017","","-3,99%"
"24 июн. 2020 г.","16,760","16,332","17,551","15,889","","5,10%"
"23 июн. 2020 г.","15,946","15,332","15,946","15,307","","0,92%"
"22 июн. 2020 г.","15,800","17,006","17,208","15,791","","-10,15%"
"19 июн. 2020 г.","17,586","16,196","17,601","16,076","","4,98%"
"18 июн. 2020 г.","16,751","17,106","17,263","16,586","","0,02%"
"17 июн. 2020 г.","16,748","16,726","17,256","16,641","","-0,01%"
"16 июн. 2020 г.","16,750","16,206","17,380","16,063","","-0,38%"
"15 июн. 2020 г.","16,814","18,142","18,560","16,793","","-1,36%"
"12 июн. 2020 г.","17,047","16,975","18,601","16,753","","-5,92%"
"11 июн. 2020 г.","18,119","16,051","18,155","15,708","","20,01%"
"10 июн. 2020 г.","15,098","15,201","15,357","14,724","","-1,15%"
"09 июн. 2020 г.","15,273","14,886","15,279","14,863","","3,11%"
"08 июн. 2020 г.","14,813","14,399","14,813","14,363","","2,39%"
"05 июн. 2020 г.","14,467","14,563","14,673","14,435","","-4,68%"
"04 июн. 2020 г.","15,176","15,259","15,359","14,940","","-0,83%"
"03 июн. 2020 г.","15,304","15,513","15,552","15,284","","-2,47%"
"02 июн. 2020 г.","15,691","15,856","15,988","15,674","","-1,58%"
"01 июн. 2020 г.","15,943","16,047","16,069","15,846","","1,11%"
"29 мая 2020 г.","15,767","16,119","16,348","15,756","","-1,81%"
"28 мая 2020 г.","16,058","15,714","16,181","15,696","","2,40%"
"27 мая 2020 г.","15,682","15,632","16,267","15,611","","-1,05%"
"26 мая 2020 г.","15,848","15,568","15,972","15,531","","-2,03%"
"22 мая 2020 г.","16,176","16,241","16,368","16,102","","-1,25%"
"21 мая 2020 г.","16,381","15,943","16,388","15,839","","2,95%"
"20 мая 2020 г.","15,911","15,807","16,079","15,708","","-3,10%"
"19 мая 2020 г.","16,421","15,896","16,426","15,648","","3,48%"
"18 мая 2020 г.","15,869","15,898","16,067","15,800","","-5,78%"
"15 мая 2020 г.","16,842","17,294","17,440","16,678","","0,37%"
"14 мая 2020 г.","16,780","17,533","18,009","16,681","","-1,86%"
"13 мая 2020 г.","17,097","16,311","17,376","16,053","","3,21%"
"12 мая 2020 г.","16,566","15,022","16,569","14,947","","8,27%"
"11 мая 2020 г.","15,301","16,043","16,086","15,240","","-2,82%"
"08 мая 2020 г.","15,745","16,193","16,268","15,700","","-3,80%"
"07 мая 2020 г.","16,366","16,550","16,632","16,343","","-4,13%"
"06 мая 2020 г.","17,071","16,581","17,071","16,496","","1,74%"
"05 мая 2020 г.","16,779","16,843","16,852","16,442","","-2,65%"
"04 мая 2020 г.","17,235","17,651","17,775","17,189","","-1,06%"
"01 мая 2020 г.","17,419","16,759","17,424","16,634","","6,77%"
"30 апр. 2020 г.","16,315","16,081","16,617","16,081","","2,63%"
"29 апр. 2020 г.","15,896","16,138","16,159","15,790","","-4,09%"
"28 апр. 2020 г.","16,574","16,121","16,681","16,084","","0,85%"
"27 апр. 2020 г.","16,435","16,901","16,901","16,344","","-4,35%"
"24 апр. 2020 г.","17,182","17,574","17,765","17,123","","-3,63%"
"23 апр. 2020 г.","17,829","17,629","17,943","17,453","","0,48%"
"22 апр. 2020 г.","17,744","17,796","17,974","17,564","","-2,09%"
"21 апр. 2020 г.","18,124","17,919","18,580","17,919","","5,14%"
"20 апр. 2020 г.","17,237","16,602","17,256","16,450","","7,06%"
"17 апр. 2020 г.","16,100","16,110","16,607","16,098","","-3,23%"
"16 апр. 2020 г.","16,637","16,440","16,846","16,344","","0,44%"
"15 апр. 2020 г.","16,563","16,230","16,569","16,077","","6,07%"
"14 апр. 2020 г.","15,615","15,801","15,898","15,525","","-3,17%"
"13 апр. 2020 г.","16,126","16,264","16,514","16,101","","-1,29%"
"09 апр. 2020 г.","16,336","16,606","16,757","16,306","","-2,94%"
"08 апр. 2020 г.","16,831","16,773","16,956","16,529","","-1,65%"
"07 апр. 2020 г.","17,112","16,323","17,113","16,240","","2,15%"
"06 апр. 2020 г.","16,752","16,820","16,969","16,540","","-4,48%"
"03 апр. 2020 г.","17,538","17,749","18,087","17,495","","-1,10%"
"02 апр. 2020 г.","17,733","18,138","18,404","17,674","","-4,36%"
"01 апр. 2020 г.","18,542","17,788","18,634","17,279","","8,82%"
"31 мар. 2020 г.","17,038","17,709","17,785","16,685","","-3,59%"
"30 мар. 2020 г.","17,673","18,144","18,612","17,598","","-5,39%"
"27 мар. 2020 г.","18,681","18,097","18,701","17,455","","15,32%"
"26 мар. 2020 г.","16,199","17,667","17,855","16,198","","-10,65%"
"25 мар. 2020 г.","18,130","17,299","18,951","17,174","","7,33%"
"24 мар. 2020 г.","16,892","15,061","17,189","14,247","","-4,19%"
"23 мар. 2020 г.","17,632","20,499","21,308","17,618","","-19,67%"
"20 мар. 2020 г.","21,949","21,351","23,320","18,922","","-6,90%"
"19 мар. 2020 г.","23,575","26,285","27,585","20,187","","-5,73%"
"18 мар. 2020 г.","25,008","23,686","28,441","21,793","","14,73%"
"17 мар. 2020 г.","21,796","20,706","22,502","19,542","","3,30%"
"16 мар. 2020 г.","21,101","19,753","22,305","18,643","","34,88%"
"13 мар. 2020 г.","15,644","15,176","17,785","15,158","","-4,96%"
"12 мар. 2020 г.","16,461","16,221","17,537","15,064","","20,41%"
"11 мар. 2020 г.","13,670","13,246","14,192","13,087","","10,90%"
"10 мар. 2020 г.","12,327","11,883","13,358","11,801","","-4,60%"
"09 мар. 2020 г.","12,922","14,608","14,785","11,838","","21,25%"
"06 мар. 2020 г.","10,657","11,407","11,757","10,341","","11,07%"
"05 мар. 2020 г.","9,595","9,061","9,962","8,873","","13,90%"
"04 мар. 2020 г.","8,424","8,427","8,739","8,189","","-4,84%"
"03 мар. 2020 г.","8,852","7,930","9,020","7,603","","10,37%"
"02 мар. 2020 г.","8,021","8,050","8,450","7,896","","0,28%"
"28 февр. 2020 г.","7,999","8,770","8,871","7,999","","-1,31%"
"27 февр. 2020 г.","8,105","7,665","8,134","7,522","","11,47%"
"26 февр. 2020 г.","7,271","7,136","7,358","6,982","","0,69%"
"25 февр. 2020 г.","7,221","6,810","7,355","6,801","","5,33%"
"24 февр. 2020 г.","6,856","6,839","6,973","6,700","","6,34%"
"21 февр. 2020 г.","6,447","6,404","6,537","6,389","","1,58%"
"20 февр. 2020 г.","6,347","6,268","6,431","6,231","","1,63%"
"19 февр. 2020 г.","6,245","6,221","6,279","6,210","","-0,74%"
"18 февр. 2020 г.","6,292","6,205","6,306","6,168","","2,00%"
"14 февр. 2020 г.","6,168","6,186","6,255","6,154","","-0,78%"
"13 февр. 2020 г.","6,216","6,268","6,286","6,165","","1,22%"
"12 февр. 2020 г.","6,141","6,247","6,271","6,116","","-2,83%"
"11 февр. 2020 г.","6,320","6,240","6,350","6,208","","-0,03%"
"10 февр. 2020 г.","6,322","6,480","6,484","6,292","","-1,66%"
"07 февр. 2020 г.","6,428","6,460","6,560","6,332","","2,05%"
"06 февр. 2020 г.","6,299","6,293","6,425","6,261","","-0,94%"
"05 февр. 2020 г.","6,359","6,383","6,593","6,344","","-3,56%"
"04 февр. 2020 г.","6,594","6,675","6,903","6,524","","-6,71%"
"03 февр. 2020 г.","7,068","7,087","7,169","6,869","","-1,55%"
"31 янв. 2020 г.","7,179","6,797","7,408","6,778","","8,99%"
"30 янв. 2020 г.","6,587","6,915","7,006","6,587","","-2,36%"
"29 янв. 2020 г.","6,746","6,650","6,780","6,624","","0,17%"
"28 янв. 2020 г.","6,735","6,811","6,836","6,700","","-2,60%"
"27 янв. 2020 г.","6,915","6,832","6,915","6,750","","4,55%"
"24 янв. 2020 г.","6,614","6,461","6,689","6,452","","1,95%"
"23 янв. 2020 г.","6,487","6,556","6,610","6,446","","-0,16%"
"22 янв. 2020 г.","6,497","6,357","6,499","6,355","","1,63%"
"21 янв. 2020 г.","6,393","6,458","6,458","6,366","","-0,18%"
"17 янв. 2020 г.","6,405","6,371","6,442","6,358","","0,44%"
"16 янв. 2020 г.","6,376","6,410","6,415","6,347","","-1,23%"
"15 янв. 2020 г.","6,456","6,496","6,505","6,434","","-0,81%"
"14 янв. 2020 г.","6,508","6,544","6,565","6,486","","-0,41%"
"13 янв. 2020 г.","6,535","6,575","6,598","6,525","","-1,27%"
"10 янв. 2020 г.","6,620","6,646","6,672","6,584","","-0,45%"
"09 янв. 2020 г.","6,649","6,702","6,753","6,630","","-1,44%"
"08 янв. 2020 г.","6,746","6,850","6,894","6,714","","-1,86%"
"07 янв. 2020 г.","6,874","6,907","6,956","6,839","","-0,29%"
"06 янв. 2020 г.","6,894","6,996","6,999","6,863","","-0,20%"
"03 янв. 2020 г.","6,908","6,985","7,006","6,856","","1,86%"
"02 янв. 2020 г.","6,782","6,849","6,906","6,731","","-2,30%"
"31 дек. 2019 г.","6,942","7,163","7,178","6,942","","-2,86%"
"30 дек. 2019 г.","7,146","7,001","7,148","7,001","","1,71%"
"27 дек. 2019 г.","7,026","6,880","7,026","6,880","","2,35%"
"26 дек. 2019 г.","6,865","6,852","6,901","6,831","","0,12%"
"24 дек. 2019 г.","6,857","6,878","6,915","6,851","","-0,29%"
"23 дек. 2019 г.","6,877","6,828","6,914","6,828","","0,14%"
"20 дек. 2019 г.","6,867","6,801","6,867","6,792","","0,43%"
"19 дек. 2019 г.","6,837","6,920","6,932","6,823","","-1,16%"
"18 дек. 2019 г.","6,918","6,900","6,948","6,879","","-0,29%"
"17 дек. 2019 г.","6,938","6,892","6,979","6,890","","0,72%"
"16 дек. 2019 г.","6,888","6,882","6,927","6,856","","-1,28%"
"13 дек. 2019 г.","6,978","7,153","7,207","6,949","","-2,20%"
"12 дек. 2019 г.","7,134","7,346","7,364","7,117","","-2,42%"
"11 дек. 2019 г.","7,311","7,424","7,442","7,291","","-1,17%"
"10 дек. 2019 г.","7,397","7,380","7,468","7,332","","-0,36%"
"09 дек. 2019 г.","7,424","7,254","7,434","7,241","","2,32%"
"06 дек. 2019 г.","7,255","7,286","7,325","7,223","","-2,04%"
"05 дек. 2019 г.","7,406","7,408","7,502","7,391","","-0,81%"
"04 дек. 2019 г.","7,466","7,493","7,525","7,408","","-1,76%"
"03 дек. 2019 г.","7,600","7,672","7,715","7,579","","1,41%"
"02 дек. 2019 г.","7,494","7,273","7,494","7,273","","2,62%"
"29 нояб. 2019 г.","7,303","7,229","7,303","7,214","","1,72%"
"27 нояб. 2019 г.","7,179","7,158","7,186","7,138","","0,15%"
"26 нояб. 2019 г.","7,168","7,223","7,240","7,162","","-0,81%"
"25 нояб. 2019 г.","7,227","7,295","7,295","7,223","","-1,93%"
"22 нояб. 2019 г.","7,370","7,412","7,452","7,364","","-1,10%"
"21 нояб. 2019 г.","7,452","7,382","7,489","7,370","","1,12%"
"20 нояб. 2019 г.","7,369","7,307","7,486","7,266","","1,28%"
"19 нояб. 2019 г.","7,276","7,192","7,304","7,192","","0,71%"
"18 нояб. 2019 г.","7,225","7,272","7,307","7,208","","-0,55%"
"15 нояб. 2019 г.","7,265","7,287","7,322","7,237","","-1,20%"
"14 нояб. 2019 г.","7,354","7,446","7,479","7,354","","-0,85%"
"13 нояб. 2019 г.","7,417","7,458","7,473","7,372","","-0,11%"
"12 нояб. 2019 г.","7,425","7,410","7,437","7,355","","0,39%"
"11 нояб. 2019 г.","7,396","7,552","7,558","7,394","","-1,00%"
"08 нояб. 2019 г.","7,471","7,550","7,572","7,443","","-0,32%"
"07 нояб. 2019 г.","7,494","7,493","7,573","7,476","","-0,60%"
"06 нояб. 2019 г.","7,539","7,529","7,609","7,516","","0,03%"
"05 нояб. 2019 г.","7,537","7,407","7,537","7,398","","1,47%"
"04 нояб. 2019 г.","7,428","7,375","7,456","7,375","","-0,20%"
"01 нояб. 2019 г.","7,443","7,474","7,507","7,423","","-1,93%"
"31 окт. 2019 г.","7,589","7,567","7,673","7,538","","1,13%"
"30 окт. 2019 г.","7,505","7,636","7,715","7,497","","-1,74%"
"29 окт. 2019 г.","7,638","7,630","7,677","7,571","","0,19%"
"28 окт. 2019 г.","7,623","7,528","7,623","7,518","","0,89%"
"25 окт. 2019 г.","7,556","7,680","7,686","7,527","","-1,59%"
"24 окт. 2019 г.","7,678","7,657","7,735","7,630","","0,04%"
"23 окт. 2019 г.","7,675","7,777","7,784","7,672","","-1,18%"
"22 окт. 2019 г.","7,766","7,622","7,771","7,618","","1,35%"
"21 окт. 2019 г.","7,663","7,714","7,738","7,653","","-1,60%"
"18 окт. 2019 г.","7,788","7,728","7,848","7,684","","0,98%"
"17 окт. 2019 г.","7,712","7,718","7,778","7,666","","-0,68%"
"16 окт. 2019 г.","7,765","7,778","7,832","7,748","","-0,13%"
"15 окт. 2019 г.","7,775","7,817","7,828","7,720","","-1,35%"
"14 окт. 2019 г.","7,881","8,005","8,005","7,872","","-1,87%"
"11 окт. 2019 г.","8,031","8,011","8,069","7,886","","-1,83%"
"10 окт. 2019 г.","8,181","8,364","8,376","8,174","","-1,76%"
"09 окт. 2019 г.","8,328","8,344","8,387","8,239","","-1,76%"
"08 окт. 2019 г.","8,478","8,238","8,486","8,221","","4,62%"
"07 окт. 2019 г.","8,103","8,155","8,180","8,016","","0,36%"
"04 окт. 2019 г.","8,074","8,268","8,268","8,074","","-2,64%"
"03 окт. 2019 г.","8,293","8,472","8,633","8,292","","-2,45%"
"02 окт. 2019 г.","8,502","8,274","8,509","8,272","","3,68%"
"01 окт. 2019 г.","8,200","7,904","8,218","7,869","","3,43%"
"30 сент. 2019 г.","7,929","8,044","8,047","7,929","","-2,14%"
"27 сент. 2019 г.","8,102","7,951","8,206","7,929","","1,28%"
"26 сент. 2019 г.","7,999","7,952","8,071","7,934","","0,77%"
"25 сент. 2019 г.","7,938","8,005","8,117","7,925","","-1,25%"
"24 сент. 2019 г.","8,038","7,775","8,071","7,761","","2,52%"
"23 сент. 2019 г.","7,840","7,915","7,924","7,816","","-1,28%"
"20 сент. 2019 г.","7,942","7,636","7,947","7,614","","3,30%"
"19 сент. 2019 г.","7,689","7,668","7,697","7,574","","0,00%"
"18 сент. 2019 г.","7,688","7,788","7,880","7,680","","-1,50%"
"17 сент. 2019 г.","7,805","7,753","7,854","7,753","","0,54%"
"16 сент. 2019 г.","7,763","7,704","7,769","7,624","","1,71%"
"13 сент. 2019 г.","7,633","7,600","7,656","7,536","","0,12%"
"12 сент. 2019 г.","7,623","7,628","7,713","7,591","","-0,86%"
"11 сент. 2019 г.","7,689","7,755","7,779","7,676","","-0,86%"
"10 сент. 2019 г.","7,756","7,774","7,838","7,715","","0,52%"
"09 сент. 2019 г.","7,716","7,697","7,852","7,680","","-0,45%"
"06 сент. 2019 г.","7,751","7,813","7,852","7,722","","-1,55%"
"05 сент. 2019 г.","7,873","7,864","7,922","7,764","","-1,27%"
"04 сент. 2019 г.","7,974","8,108","8,181","7,974","","-3,38%"
"03 сент. 2019 г.","8,253","8,195","8,316","8,121","","1,83%"
"30 авг. 2019 г.","8,105","7,950","8,164","7,950","","0,92%"
"29 авг. 2019 г.","8,031","8,067","8,114","7,976","","-2,09%"
"28 авг. 2019 г.","8,203","8,391","8,442","8,192","","-1,60%"
"27 авг. 2019 г.","8,336","8,043","8,373","8,043","","2,80%"
"26 авг. 2019 г.","8,109","8,075","8,256","8,075","","-0,88%"
"23 авг. 2019 г.","8,181","7,824","8,391","7,650","","6,11%"
"22 авг. 2019 г.","7,710","7,586","7,863","7,578","","1,55%"
"21 авг. 2019 г.","7,593","7,676","7,876","7,589","","-4,44%"
"20 авг. 2019 г.","7,945","7,798","7,987","7,760","","2,28%"
"19 авг. 2019 г.","7,768","7,999","8,268","7,710","","-6,76%"
"16 авг. 2019 г.","8,331","8,670","8,895","8,331","","-6,32%"
"15 авг. 2019 г.","8,893","8,859","9,262","8,771","","0,01%"
"14 авг. 2019 г.","8,891","8,530","9,126","8,189","","12,07%"
"13 авг. 2019 г.","7,934","8,743","8,776","7,925","","-8,80%"
"12 авг. 2019 г.","8,700","8,218","8,726","8,183","","8,14%"
"09 авг. 2019 г.","8,045","7,948","8,197","7,887","","2,70%"
"08 авг. 2019 г.","7,834","8,067","8,139","7,799","","-4,91%"
"07 авг. 2019 г.","8,238","8,504","8,624","8,169","","-0,92%"
"06 авг. 2019 г.","8,314","8,184","8,450","8,150","","-2,29%"
"05 авг. 2019 г.","8,509","8,114","8,515","8,077","","8,49%"
"02 авг. 2019 г.","7,843","7,878","8,007","7,824","","-0,28%"
"01 авг. 2019 г.","7,865","7,663","7,947","7,503","","1,41%"
"31 июл. 2019 г.","7,756","7,459","7,801","7,373","","3,35%"
"30 июл. 2019 г.","7,504","7,419","7,524","7,363","","2,34%"
"29 июл. 2019 г.","7,332","7,345","7,400","7,320","","-0,23%"
"26 июл. 2019 г.","7,350","7,387","7,389","7,268","","-1,07%"
"25 июл. 2019 г.","7,429","7,303","7,449","7,299","","1,66%"
"24 июл. 2019 г.","7,308","7,453","7,453","7,271","","-1,62%"
"23 июл. 2019 г.","7,429","7,490","7,534","7,388","","-1,65%"
"22 июл. 2019 г.","7,554","7,567","7,643","7,493","","-0,67%"
"19 июл. 2019 г.","7,604","7,500","7,621","7,475","","1,01%"
"18 июл. 2019 г.","7,528","7,546","7,595","7,461","","-0,88%"
"17 июл. 2019 г.","7,595","7,405","7,595","7,393","","1,50%"
"16 июл. 2019 г.","7,483","7,367","7,483","7,352","","1,07%"
"15 июл. 2019 г.","7,404","7,381","7,439","7,346","","0,44%"
"12 июл. 2019 г.","7,371","7,364","7,414","7,342","","-0,30%"
"11 июл. 2019 г.","7,393","7,396","7,483","7,362","","-0,57%"
"10 июл. 2019 г.","7,435","7,489","7,498","7,412","","-1,49%"
"09 июл. 2019 г.","7,548","7,582","7,591","7,495","","0,61%"
"08 июл. 2019 г.","7,502","7,453","7,526","7,402","","1,55%"
"05 июл. 2019 г.","7,388","7,477","7,569","7,324","","0,23%"
"03 июл. 2019 г.","7,371","7,406","7,455","7,360","","-0,49%"
"02 июл. 2019 г.","7,407","7,571","7,584","7,398","","-1,92%"
"01 июл. 2019 г.","7,552","7,566","7,614","7,516","","-1,74%"
"28 июн. 2019 г.","7,685","7,829","7,848","7,677","","-1,82%"
"27 июн. 2019 г.","7,827","7,891","7,927","7,823","","-1,23%"
"26 июн. 2019 г.","7,925","7,881","7,961","7,847","","-0,42%"
"25 июн. 2019 г.","7,958","7,806","7,979","7,806","","2,00%"
"24 июн. 2019 г.","7,802","7,801","7,820","7,751","","-0,82%"
"21 июн. 2019 г.","7,867","7,700","7,867","7,683","","2,34%"
"20 июн. 2019 г.","7,687","7,652","7,860","7,612","","-0,31%"
"19 июн. 2019 г.","7,711","7,724","7,799","7,681","","-1,15%"
"18 июн. 2019 г.","7,801","7,706","7,807","7,654","","0,44%"
"17 июн. 2019 г.","7,767","7,839","7,847","7,760","","-0,99%"
"14 июн. 2019 г.","7,844","7,918","7,970","7,818","","-0,75%"
"13 июн. 2019 г.","7,904","7,856","7,934","7,838","","-0,11%"
"12 июн. 2019 г.","7,912","7,931","7,965","7,886","","0,18%"
"11 июн. 2019 г.","7,898","7,786","7,942","7,767","","0,67%"
"10 июн. 2019 г.","7,845","7,850","7,902","7,811","","-1,03%"
"07 июн. 2019 г.","7,927","7,849","7,945","7,808","","0,67%"
"06 июн. 2019 г.","7,875","7,948","7,990","7,847","","-0,99%"
"05 июн. 2019 г.","7,954","7,985","8,083","7,941","","-0,92%"
"04 июн. 2019 г.","8,028","8,140","8,209","8,028","","-3,01%"
"03 июн. 2019 г.","8,276","8,292","8,452","8,184","","-0,29%"
"31 мая 2019 г.","8,300","8,267","8,320","8,203","","2,63%"
"30 мая 2019 г.","8,088","8,086","8,201","8,054","","-1,17%"
"29 мая 2019 г.","8,183","8,154","8,230","8,080","","1,35%"
"28 мая 2019 г.","8,074","7,929","8,087","7,881","","1,55%"
"24 мая 2019 г.","7,951","7,876","8,031","7,845","","-0,94%"
"23 мая 2019 г.","8,026","7,891","8,076","7,891","","3,88%"
"22 мая 2019 г.","7,726","7,751","7,797","7,654","","0,06%"
"21 мая 2019 г.","7,722","7,870","7,973","7,700","","-4,16%"
"20 мая 2019 г.","8,057","8,159","8,279","7,929","","1,00%"
"17 мая 2019 г.","7,977","8,158","8,170","7,746","","1,43%"
"16 мая 2019 г.","7,865","8,138","8,138","7,782","","-4,04%"
"15 мая 2019 г.","8,196","8,789","8,860","8,160","","-4,44%"
"14 мая 2019 г.","8,576","8,719","8,766","8,455","","-5,05%"
"13 мая 2019 г.","9,033","8,857","9,065","8,615","","12,15%"
"10 мая 2019 г.","8,054","8,543","8,728","8,046","","-4,84%"
"09 мая 2019 г.","8,463","8,749","8,890","8,447","","0,00%"
"08 мая 2019 г.","8,463","8,600","8,654","8,382","","-0,60%"
"07 мая 2019 г.","8,514","8,252","8,748","8,229","","5,23%"
"06 мая 2019 г.","8,092","8,268","8,300","8,025","","2,06%"
"03 мая 2019 г.","7,929","8,012","8,012","7,881","","-2,44%"
"02 мая 2019 г.","8,127","8,029","8,231","8,022","","-0,08%"
"01 мая 2019 г.","8,134","7,907","8,146","7,826","","2,52%"
"30 апр. 2019 г.","7,934","7,894","8,030","7,886","","0,36%"
"29 апр. 2019 г.","7,905","7,900","7,931","7,834","","0,63%"
"26 апр. 2019 г.","7,856","7,949","8,005","7,852","","-1,65%"
"25 апр. 2019 г.","7,987","7,915","8,005","7,834","","1,75%"
"24 апр. 2019 г.","7,850","7,822","7,900","7,801","","0,42%"
