"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03 нояб. 2021 г.","6,896","7,050","7,055","6,883","","-2,02%"
"02 нояб. 2021 г.","7,039","7,140","7,144","7,036","","-1,51%"
"01 нояб. 2021 г.","7,147","7,142","7,256","7,133","","-0,49%"
"29 окт. 2021 г.","7,182","7,208","7,209","7,149","","1,14%"
"28 окт. 2021 г.","7,101","7,155","7,185","7,096","","-1,82%"
"27 окт. 2021 г.","7,233","7,121","7,248","7,047","","1,62%"
"26 окт. 2021 г.","7,117","6,995","7,195","6,992","","0,87%"
"25 окт. 2021 г.","7,056","7,196","7,246","7,042","","-2,05%"
"22 окт. 2021 г.","7,204","7,133","7,249","7,078","","1,42%"
"21 окт. 2021 г.","7,103","7,212","7,237","7,087","","-1,29%"
"20 окт. 2021 г.","7,196","7,264","7,283","7,196","","-1,14%"
"19 окт. 2021 г.","7,279","7,264","7,300","7,228","","-0,54%"
"18 окт. 2021 г.","7,319","7,326","7,354","7,260","","0,44%"
"15 окт. 2021 г.","7,287","7,168","7,304","7,132","","1,00%"
"14 окт. 2021 г.","7,214","7,296","7,314","7,207","","-2,55%"
"13 окт. 2021 г.","7,403","7,466","7,502","7,373","","-0,84%"
"12 окт. 2021 г.","7,465","7,525","7,584","7,445","","-1,32%"
"11 окт. 2021 г.","7,565","7,557","7,582","7,432","","0,20%"
"08 окт. 2021 г.","7,550","7,504","7,581","7,484","","-0,21%"
"07 окт. 2021 г.","7,566","7,607","7,621","7,542","","-1,47%"
"06 окт. 2021 г.","7,679","7,816","7,945","7,673","","-0,71%"
"05 окт. 2021 г.","7,734","7,862","7,880","7,650","","-2,33%"
"04 окт. 2021 г.","7,918","7,758","7,988","7,723","","2,12%"
"01 окт. 2021 г.","7,754","7,759","7,874","7,618","","-1,29%"
"30 сент. 2021 г.","7,855","7,757","7,933","7,656","","0,14%"
"29 сент. 2021 г.","7,844","7,761","7,851","7,694","","0,73%"
"28 сент. 2021 г.","7,787","7,519","7,864","7,482","","6,16%"
"27 сент. 2021 г.","7,335","7,297","7,365","7,222","","0,45%"
"24 сент. 2021 г.","7,302","7,621","7,630","7,297","","-2,46%"
"23 сент. 2021 г.","7,486","7,637","7,707","7,476","","-4,21%"
"22 сент. 2021 г.","7,816","7,977","8,026","7,727","","-3,38%"
"21 сент. 2021 г.","8,089","8,172","8,329","8,042","","-1,81%"
"20 сент. 2021 г.","8,238","8,169","8,553","8,067","","5,11%"
"17 сент. 2021 г.","7,838","7,695","7,844","7,671","","2,41%"
"16 сент. 2021 г.","7,654","7,703","7,793","7,609","","-0,84%"
"15 сент. 2021 г.","7,718","7,760","7,821","7,657","","-1,18%"
"14 сент. 2021 г.","7,810","7,664","7,884","7,641","","1,17%"
"13 сент. 2021 г.","7,720","7,662","7,848","7,642","","-0,91%"
"10 сент. 2021 г.","7,791","7,550","7,813","7,508","","1,29%"
"09 сент. 2021 г.","7,692","7,639","7,699","7,515","","1,15%"
"08 сент. 2021 г.","7,604","7,635","7,727","7,591","","0,59%"
"07 сент. 2021 г.","7,560","7,494","7,585","7,483","","1,33%"
"03 сент. 2021 г.","7,460","7,486","7,522","7,414","","0,70%"
"02 сент. 2021 г.","7,408","7,365","7,473","7,363","","0,12%"
"01 сент. 2021 г.","7,399","7,474","7,497","7,350","","-1,41%"
"31 авг. 2021 г.","7,505","7,500","7,559","7,489","","-0,03%"
"30 авг. 2021 г.","7,508","7,468","7,526","7,438","","0,18%"
"27 авг. 2021 г.","7,494","7,649","7,649","7,478","","-2,71%"
"26 авг. 2021 г.","7,702","7,622","7,769","7,574","","1,62%"
"25 авг. 2021 г.","7,580","7,665","7,685","7,545","","-1,14%"
"24 авг. 2021 г.","7,667","7,608","7,698","7,606","","0,11%"
"23 авг. 2021 г.","7,658","7,660","7,660","7,565","","-1,00%"
"20 авг. 2021 г.","7,736","7,894","7,904","7,703","","-2,36%"
"19 авг. 2021 г.","7,923","8,045","8,054","7,820","","0,08%"
"18 авг. 2021 г.","7,916","7,700","7,938","7,625","","4,08%"
"17 авг. 2021 г.","7,606","7,548","7,728","7,503","","2,36%"
"16 авг. 2021 г.","7,430","7,506","7,578","7,397","","0,67%"
"13 авг. 2021 г.","7,381","7,300","7,417","7,276","","0,07%"
"12 авг. 2021 г.","7,375","7,523","7,535","7,313","","-1,63%"
"11 авг. 2021 г.","7,498","7,606","7,644","7,487","","-2,04%"
"10 авг. 2021 г.","7,654","7,663","7,689","7,569","","-0,57%"
"09 авг. 2021 г.","7,697","7,705","7,749","7,662","","0,26%"
"06 авг. 2021 г.","7,678","7,738","7,790","7,677","","-1,60%"
"05 авг. 2021 г.","7,802","7,868","7,873","7,792","","-1,45%"
"04 авг. 2021 г.","7,917","7,973","7,981","7,851","","0,07%"
"03 авг. 2021 г.","7,912","8,014","8,129","7,889","","-2,26%"
"02 авг. 2021 г.","8,095","7,849","8,107","7,838","","1,99%"
