,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,0.044805631041526794,0.23024602234363556,0.03424482420086861,0.009757433086633682,0.012094845995306969,0.10898742079734802,0.3930386006832123,0.0,0.0,0.040478937327861786,0.1469358205795288,0.0,0.18992488086223602,0.0,1.0265617370605469,0.0,0.02015693299472332,0.0
AAL,0.07123292982578278,0.4281814694404602,0.060433149337768555,0.022024765610694885,0.4364236891269684,0.4041537940502167,0.31567415595054626,0.2939617931842804,0.22060295939445496,0.4576500952243805,0.13141843676567078,0.4022037386894226,0.05944247543811798,0.28940311074256897,0.4087522327899933,0.3145151436328888,0.15305718779563904,0.4558899700641632
AAP,0.19402962923049927,0.29826241731643677,0.11868400871753693,0.11400805413722992,6.943941116333008e-06,0.07980053126811981,0.3346443772315979,0.040480293333530426,0.0,0.05479586869478226,0.15643317997455597,0.010798616334795952,0.1868426501750946,0.0,0.8910925984382629,0.10035604983568192,0.05770305171608925,0.04908289015293121
AAPL,0.09227608889341354,0.18033117055892944,0.004546570125967264,0.0,0.013258119113743305,0.2191387265920639,0.286742627620697,0.01414953637868166,0.0,0.06567776948213577,0.0613333098590374,0.041032545268535614,0.15415015816688538,0.0,0.7559008002281189,0.0,0.062016166746616364,0.025401774793863297
ABBV,0.11343815922737122,0.40042662620544434,0.02989114075899124,0.0,0.024978434666991234,0.13529084622859955,0.3538094758987427,0.05123380199074745,0.0,0.04386167973279953,0.2197815328836441,0.010311692953109741,0.17574849724769592,0.0,1.0293915271759033,0.005407226271927357,0.035095371305942535,0.023907680064439774
ABC,0.1432621330022812,0.21082215011119843,0.008360568434000015,0.01520472764968872,0.0,0.09268337488174438,0.36903321743011475,0.003440381959080696,0.0,0.03215803578495979,0.1489410400390625,0.0692506805062294,0.007505866698920727,0.021534215658903122,0.8784844279289246,0.056631747633218765,0.02301608957350254,0.0
ABMD,0.09106747806072235,0.22778373956680298,0.3692491352558136,0.25969669222831726,0.24118079245090485,0.29087069630622864,0.34120628237724304,0.2500000298023224,0.12824223935604095,0.136180579662323,0.12922775745391846,0.02882513776421547,0.34922128915786743,0.09393294155597687,0.592424750328064,0.19940175116062164,0.2285124808549881,0.10283820331096649
ABT,0.06559263169765472,0.2893923223018646,0.012752542272210121,0.0,0.0,0.034342698752880096,0.45613986253738403,0.0,0.0,0.017118101939558983,0.16928423941135406,0.0,0.17299512028694153,0.0,1.1333298683166504,0.0,0.0665164366364479,0.0
ACN,0.12493106722831726,0.1634998470544815,0.05940507724881172,0.06848996877670288,0.0,0.1422530859708786,0.4241155982017517,0.0,0.053163081407547,0.022516751661896706,0.16862039268016815,0.0,0.13367223739624023,0.0,0.9469252824783325,0.021915141493082047,0.026020215824246407,0.0
ADI,0.08510825037956238,0.191092386841774,0.025922374799847603,0.002310672774910927,0.029231885448098183,0.055384598672389984,0.338998019695282,0.005352867767214775,0.0,0.061032071709632874,0.13944484293460846,0.03689190745353699,0.1514926552772522,0.022095106542110443,0.8306255340576172,0.0,0.04104355350136757,0.015705961734056473
ADM,0.13108402490615845,0.22085118293762207,0.015814226120710373,0.0,0.0,0.14852608740329742,0.2901277542114258,0.0,0.0,0.009782901033759117,0.15492045879364014,0.00023010559380054474,0.15291033685207367,0.0,0.9918515086174011,0.0,0.005527570843696594,0.0
ADP,0.14897987246513367,0.19983261823654175,0.00693548982962966,0.048564087599515915,0.0,0.14975088834762573,0.3993312120437622,0.022401899099349976,0.01846480555832386,0.003294657915830612,0.18385529518127441,0.023265758529305458,0.14635249972343445,0.0,1.0035675764083862,0.06034442409873009,0.02079111337661743,0.0
ADSK,0.02178967371582985,0.41908541321754456,0.004529921803623438,0.1260848343372345,0.057273730635643005,0.15875689685344696,0.4388195872306824,0.038584984838962555,0.0,0.12302554398775101,0.1133287101984024,0.0912451446056366,0.1496170461177826,0.1075737401843071,0.808630108833313,0.0020316271111369133,0.09784291684627533,0.044243112206459045
AEE,0.23087121546268463,0.24136227369308472,0.007674240041524172,0.0,0.0,0.06999393552541733,0.36503759026527405,0.025765899568796158,0.0,0.0011099651455879211,0.17605191469192505,0.0,0.12373341619968414,0.0,1.1635143756866455,0.0,0.0033070894423872232,0.0
AEP,0.230976864695549,0.2836611866950989,0.04295484721660614,3.602355718612671e-06,0.0,0.04144167900085449,0.3383021354675293,0.026316270232200623,0.0,0.0025862939655780792,0.16715428233146667,0.0,0.13913840055465698,0.0,1.231810450553894,0.0,0.007232206873595715,0.0
AES,0.15514330565929413,0.20169615745544434,0.058646783232688904,0.10024097561836243,0.03053947538137436,0.26604989171028137,0.2098906934261322,0.1034948080778122,0.14804020524024963,0.04473830759525299,0.08045215904712677,0.002199997194111347,0.19147691130638123,0.0,0.8490622043609619,0.07771562039852142,0.004268980585038662,0.005035093054175377
AFL,0.16240645945072174,0.26424530148506165,0.0622173547744751,0.03407713398337364,0.0057131145149469376,0.26448678970336914,0.3615039587020874,0.09355706721544266,0.11154217272996902,0.018420904874801636,0.1361481249332428,0.060074277222156525,0.19041652977466583,0.015347251668572426,0.9183051586151123,0.03323438763618469,0.021593978628516197,0.13640619814395905
AIG,0.1516227126121521,0.2782387435436249,0.09339196979999542,0.11325985193252563,0.02692284993827343,0.39400288462638855,0.25245699286460876,0.08980433642864227,0.10461313277482986,0.043589282780885696,0.12331637740135193,0.03174085170030594,0.11791494488716125,0.0,0.7280983924865723,0.09975609183311462,0.0015039572026580572,0.04533148929476738
AIZ,0.12195302546024323,0.29403722286224365,0.01735047809779644,0.024811789393424988,0.0,0.18142060935497284,0.35061225295066833,0.0,0.020201636478304863,0.03533630445599556,0.163998082280159,0.02627667225897312,0.15389962494373322,0.0019225715659558773,0.994601845741272,0.007900550030171871,0.04242879897356033,0.0
AJG,0.15702679753303528,0.2227136790752411,0.023645687848329544,0.005513940006494522,0.009457433596253395,0.10506003350019455,0.3933909833431244,0.029583461582660675,0.0006287489086389542,0.022833088412880898,0.08971937745809555,0.0,0.05619196221232414,0.0,1.0331470966339111,0.0,0.003965452313423157,0.0
AKAM,0.1303108036518097,0.2860308289527893,0.0,0.0,0.0,0.1399906575679779,0.3523677885532379,0.0,0.0,0.014978621155023575,0.19433610141277313,0.0,0.11362035572528839,0.0,0.9250631332397461,0.0,0.0,0.004922123625874519
ALB,0.07648178935050964,0.188004732131958,0.22076144814491272,0.13375909626483917,0.107783742249012,0.19127660989761353,0.10853663831949234,0.15662570297718048,0.0,0.06232950836420059,0.0701015442609787,0.2459462434053421,0.08150480687618256,0.11875464767217636,0.4206411838531494,0.0463690459728241,0.05236263945698738,0.030785642564296722
ALGN,0.039024949073791504,0.3742832839488983,0.0997048020362854,0.1752273142337799,0.0,0.510856032371521,0.3590298295021057,0.22840659320354462,0.05152331292629242,0.12478204071521759,0.11892571300268173,0.18755105137825012,0.3629411458969116,0.19915294647216797,0.5964038968086243,0.06916309893131256,0.13009291887283325,0.14461563527584076
