,ticker,sector
267,MRK,Healthcare
268,MDT,Healthcare
269,BMY,Healthcare
270,ISRG,Healthcare
271,AMGN,Healthcare
272,ZTS,Healthcare
273,SYK,Healthcare
274,GILD,Healthcare
275,EW,Healthcare
276,BDX,Healthcare
277,REGN,Healthcare
278,BSX,Healthcare
279,ILMN,Healthcare
280,VRTX,Healthcare
281,IDXX,Healthcare
282,ALGN,Healthcare
283,DXCM,Healthcare
284,A,Healthcare
285,BAX,Healthcare
286,MTD,Healthcare
287,RMD,Healthcare
288,BIIB,Healthcare
289,WST,Healthcare
290,ZBH,Healthcare
291,STE,Healthcare
292,PKI,Healthcare
293,WAT,Healthcare
294,BIO,Healthcare
295,CTLT,Healthcare
296,COO,Healthcare
297,TECH,Healthcare
298,HOLX,Healthcare
299,VTRS,Healthcare
300,ABMD,Healthcare
301,INCY,Healthcare
302,TFX,Healthcare
303,XRAY,Healthcare
304,WM,Industrials
305,SLB,Energy
306,RSG,Industrials
307,KMI,Energy
308,WMB,Energy
309,OKE,Energy
310,BKR,Energy
311,HAL,Energy
312,J,Industrials
313,PWR,Industrials
314,FCX,Basic Materials
315,NEM,Basic Materials
316,NUE,Basic Materials
317,VMC,Basic Materials
318,MLM,Basic Materials
319,LIN,Basic Materials
320,SHW,Basic Materials
321,ECL,Basic Materials
322,APD,Basic Materials
323,DD,Basic Materials
324,PPG,Basic Materials
325,ADM,Consumer Defensive
326,LYB,Basic Materials
327,BLL,Consumer Cyclical
328,ALB,Basic Materials
329,CE,Basic Materials
330,AMCR,Consumer Cyclical
331,IP,Consumer Cyclical
332,AVY,Industrials
333,EMN,Basic Materials
334,MOS,Basic Materials
335,CF,Basic Materials
336,FMC,Basic Materials
337,PKG,Consumer Cyclical
338,WRK,Consumer Cyclical
339,SEE,Consumer Cyclical
340,HON,Industrials
341,AMAT,Technology
342,CAT,Industrials
343,DE,Industrials
344,GE,Industrials
345,MMM,Industrials
346,ITW,Industrials
347,ETN,Industrials
348,JCI,Industrials
349,EMR,Industrials
350,TT,Industrials
351,APTV,Consumer Cyclical
352,PH,Industrials
353,ROK,Industrials
354,AME,Industrials
355,CMI,Industrials
356,PCAR,Industrials
357,DOV,Industrials
358,IR,Industrials
359,GNRC,Industrials
360,XYL,Industrials
361,IEX,Industrials
362,WAB,Industrials
363,MAS,Industrials
364,SEDG,Technology
365,FBHS,Consumer Cyclical
366,AOS,Industrials
367,PNR,Industrials
368,ALLE,Industrials
369,BWA,Consumer Cyclical
370,NWL,Consumer Defensive
371,AMZN,Consumer Cyclical
372,HD,Consumer Cyclical
373,WMT,Consumer Defensive
374,COST,Consumer Defensive
375,LOW,Consumer Cyclical
376,CVS,Healthcare
377,TGT,Consumer Defensive
378,TJX,Consumer Cyclical
379,DG,Consumer Defensive
380,ORLY,Consumer Cyclical
381,WBA,Healthcare
382,AZO,Consumer Cyclical
383,EBAY,Consumer Cyclical
384,ROST,Consumer Cyclical
385,KR,Consumer Defensive
386,DLTR,Consumer Defensive
387,TSCO,Consumer Cyclical
388,ETSY,Consumer Cyclical
389,BBY,Consumer Cyclical
390,ULTA,Consumer Cyclical
391,KMX,Consumer Cyclical
392,BBWI,Consumer Cyclical
393,AAP,Consumer Cyclical
394,TPR,Consumer Cyclical
395,RL,Consumer Cyclical
396,GPS,Consumer Cyclical
397,MSFT,Technology
398,GOOG,Communication Services
399,GOOGL,Communication Services
400,FB,Communication Services
401,ACN,Technology
402,CSCO,Technology
403,NFLX,Communication Services
404,CRM,Technology
405,ORCL,Technology
406,PYPL,Financial
407,INTU,Technology
408,NOW,Technology
409,IBM,Technology
410,ADP,Industrials
411,FISV,Technology
412,FIS,Technology
413,ADSK,Technology
414,SNPS,Technology
415,CDNS,Technology
416,ROP,Industrials
417,MSCI,Financial
418,PAYX,Industrials
419,CTSH,Technology
420,GPN,Industrials
421,MTCH,Communication Services
422,EPAM,Technology
423,VRSK,Industrials
424,ANSS,Technology
425,TWTR,Communication Services
426,VRSN,Technology
427,CDW,Technology
428,CERN,Healthcare
429,IT,Technology
430,PAYC,Technology
431,TYL,Technology
432,BR,Technology
433,AKAM,Technology
434,FDS,Financial
435,NLOK,Technology
436,PTC,Technology
437,JKHY,Technology
438,LDOS,Technology
439,CTXS,Technology
440,JNPR,Technology
441,DXC,Technology
442,UPS,Industrials
443,UNP,Industrials
444,CSX,Industrials
445,FDX,Industrials
446,ODFL,Industrials
447,LUV,Industrials
448,DAL,Industrials
449,EXPD,Industrials
450,JBHT,Industrials
451,UAL,Industrials
452,CHRW,Industrials
453,AAL,Industrials
454,ALK,Industrials
455,NEE,Utilities
456,DUK,Utilities
457,SO,Utilities
458,D,Utilities
459,EXC,Utilities
460,AEP,Utilities
461,SRE,Utilities
462,XEL,Utilities
463,PEG,Utilities
464,AWK,Utilities
465,ES,Utilities
466,WEC,Utilities
467,ED,Utilities
468,EIX,Utilities
469,DTE,Utilities
470,AEE,Utilities
471,PPL,Utilities
472,FE,Utilities
473,ETR,Utilities
474,CMS,Utilities
475,CNP,Utilities
476,AES,Utilities
477,EVRG,Utilities
478,LNT,Utilities
479,ATO,Utilities
480,NI,Utilities
481,NRG,Utilities
482,PNW,Utilities
