,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
AMZN,0.000856055342237182,0.021672434803709548,0.0014342332856687,0.5396687009590235,-45.16282050569006,355,1.0415567858381523,0.00040764657709183635,0.03400668775173399,-0.033155859036149406,-0.050737763626849494,0.0004434615287360419,0.5486729737513927,0.02599368671162432
ANET,0.000896062200974329,0.02765861476499228,0.0015572802341736,0.5318221447253705,-52.20064856586214,527,1.2163000408691633,0.0003724233492208108,0.028093040397315312,-0.03967159643051369,-0.06532580926938879,0.0004978888468881416,0.8537342272516696,0.02086048169943972
ANSS,0.0007201600834219579,0.021878809250265377,0.0012398188781634,0.5283347863993025,-44.62818046974433,183,1.2559518741370899,0.00017945041053494572,0.027474642586732538,-0.03449929682703618,-0.04864085790389692,0.0005102392116802158,0.6646887341144498,0.020623900573503134
ANTM,0.0008794750349533193,0.021888307409910414,0.0007589055794074,0.5265911072362686,-44.968815674393305,427,1.0023941463047703,0.0004479264843174155,0.03474126170036336,-0.030861677687829756,-0.04969717592376674,0.00043126353321866923,0.5447545208559201,0.026274764717260705
AON,0.0008075750852985728,0.01698581680745412,0.0012036591414217,0.5475152571926766,-38.72720371676165,287,0.7984475563061346,0.0004638291776105524,0.040535434595573745,-0.02353508713065648,-0.03836089355211489,0.00036774024622300436,0.35726457869824135,0.028308228823219952
AOS,0.00013931644045098025,0.01882194720516013,0.0007311456675547,0.5143853530950305,-48.77653025374421,795,0.8227101506650693,-0.00021487494666134,0.0010768716532051689,-0.03159496582384753,-0.04290267506059957,0.00037529732155695486,2.5428850711878965,-0.019033179626262678
APA,0.0009073252666717325,0.04585440422456252,0.0017286480804852,0.5170008718395815,-91.84584169748918,920,1.6331608599477918,0.0002042204005231323,0.017190881900104635,-0.05785537137857032,-0.09862338031733842,0.0006277285732976725,2.3173898755211244,0.011634810736300391
APD,0.0004615449138309749,0.01758958637328249,0.0011149069560363,0.5379250217959896,-30.967544632596976,265,0.9423928842785513,5.58279761979938e-05,0.019471594585281915,-0.025681616434102408,-0.041618554010713245,0.0004125749275998202,0.6703433176526562,0.002579077019813557
APH,0.0005545306730182755,0.017415004806485918,0.0013158196337457,0.5414123801220575,-37.753897651871206,161,1.0643882877326631,9.62925392680363e-05,0.02500619774784491,-0.027414237753522773,-0.04154793392496442,0.0004505728614011126,0.5469172530334178,0.012842728166577774
APTV,0.0005471346973414281,0.029098133029684992,0.0008744724975953,0.5152571926765476,-67.40503338425246,601,1.4125169989411184,-6.097905301189952e-05,0.014711840029636547,-0.0398549665826672,-0.06634053891481587,0.0005590045838127183,1.5475190111821373,0.005180697909097149
ARE,0.0002722904752486448,0.016973626143100825,0.0007629842319278,0.5361813426329556,-41.61113342147655,182,0.8689070968119211,-0.00010178952077761593,0.009028292181592177,-0.02466916058351335,-0.04081248429329536,0.00038968629402484157,1.0580758808499295,-0.012885240122696227
ATO,0.0003855949110962666,0.01578408759090827,0.0006920384949902,0.5248474280732345,-33.233805918757284,535,0.6102341940526409,0.00012287821132035047,0.016887089007424187,-0.021183355834758628,-0.037332128248877716,0.0003091173909601255,0.6461117974019772,-0.003114256585272036
ATVI,0.0004427415906757834,0.02272224026947757,0.0007492202450285,0.5161290322580645,-51.90070643491258,460,0.7099970243046966,0.00013707521390771886,0.014245689148132873,-0.03479071149303623,-0.05274534401629652,0.00034019054054131503,1.166143442895906,0.0005841411165818333
AVB,0.00026156976590763616,0.018207313063463768,0.0009577967053777,0.5318221447253705,-46.911036987458665,357,0.8241223213303166,-9.322958585220785e-05,0.007827741872907832,-0.02481655306698606,-0.04208782190781288,0.00037573717064909204,1.267372197396995,-0.011635965301768842
AVGO,0.000851218494715919,0.0235795833876008,0.001709827693221,0.5387968613775065,-48.78889525059687,270,1.2676499673633215,0.0003054725841417714,0.031051052244345765,-0.035775632751085244,-0.054416912156147815,0.0005138828192213712,0.6531774816739326,0.025596870962382695
AVY,0.0005580852739717508,0.020020258837539003,0.0001553729899879,0.5056669572798606,-43.7941619749148,434,1.0182459206023426,0.0001197122518958024,0.021929669265859535,-0.027095175335123577,-0.043657977761905824,0.0004362008886709076,0.7181891058862571,0.00884839010080521
AWK,0.000594325059649353,0.01679156910272724,0.000961390559639,0.5353095030514385,-31.156028585231034,164,0.6742068690106925,0.0003040669828011339,0.028304528164943245,-0.023151371120346764,-0.03978448905388087,0.00032904297339456524,0.47441511737367476,0.011118085462217786
AXP,0.0006685154851431729,0.024022942262496183,0.0009863152521412,0.5196163905841326,-49.638499398919734,254,1.3076032447906922,0.0001055689763507534,0.022872629842405474,-0.033413423585101396,-0.05343579770070607,0.0005263270748887656,0.8632586196917039,0.014316571610007347
AZO,0.0011108681400110918,0.018753178614119306,0.0008928952746112,0.5353095030514385,-42.142402343749865,198,0.7535016787962976,0.0007864722338847642,0.05288812853393979,-0.024140774314044048,-0.044824562894841054,0.0003537409443648636,0.31658276573630983,0.04241913405778035
BA,-2.6363529527873682e-05,0.03257721383937922,-0.0011961122701024,0.4673060156931125,-78.43720140050334,82,1.5285664009205029,-0.0006844386163584597,-0.00446358455613906,-0.044660796581117566,-0.07194220841194209,0.0005951505152924309,-40.25541649931866,-0.017547537968539757
BAC,0.00036072635840386606,0.022656499814276497,0.0005107699179318,0.5100261551874455,-49.270481949117595,418,1.2414626480844702,-0.00017374544435402146,0.010667081911918206,-0.0336883087196599,-0.05092018145860317,0.0005057262494144981,1.423009358411247,-0.004531261316086181
BAX,0.00011950583816271252,0.01616498187394871,0.0010450834773954,0.5309503051438536,-32.63225134892029,116,0.6986220319556784,-0.0001812634016060895,2.834640450985817e-05,-0.025007573285720473,-0.04031612903660755,0.00033664756929788794,2.186559610830977,-0.022721634271260626
BBWI,0.00042955945887637373,0.03915236208019843,-0.0008894054567595,0.4768962510897995,-84.23315007491121,801,1.4027670690586835,-0.0001743567728411187,0.007930858403707861,-0.05267829074496609,-0.08520951534539835,0.0005559677711152682,3.5685570991002833,-2.7712779433707977e-05
BBY,0.00039492235853720115,0.025054074980893303,0.0013447304437776,0.5353095030514385,-52.760867796082266,325,1.138538708205959,-9.523885317818455e-05,0.011011172422049876,-0.04019851283903188,-0.06037247559068339,0.00047366850835753343,1.5894432401175247,-0.0018029018689415689
BDX,0.000242031007155631,0.01586136289002162,0.0006011506282264,0.5239755884917175,-29.864684068866776,301,0.5967758105060342,-1.4891618567827172e-05,0.00775364569619555,-0.023629244189082688,-0.038354895236852427,0.00030492550542512075,1.0394652969699125,-0.012838942780707515
BEN,-0.00019160738658224774,0.023546848998881934,0.0,0.4986922406277245,-66.63759270146726,2,1.1317746321891473,-0.0006788565429826589,-0.013193060593568909,-0.03639298999150568,-0.05488665470166776,0.00047156170018741744,-2.8936989730202645,-0.034825206505691465
BIIB,5.288179701148466e-05,0.03128251304628693,-0.0001051003050367,0.4917175239755885,-54.77803835202537,720,0.8257274934935832,-0.00030260860998160505,-0.0021151057121987817,-0.03143437996189351,-0.05783829651247814,0.00037623713395813936,18.505339791659967,-0.012901734400764333
BIO,0.0008949090318775392,0.02067571453693254,0.0012996712428572,0.5344376634699215,-43.849982142613875,228,0.8570035222681173,0.0005259537369089432,0.037525252703794934,-0.03145670508039564,-0.04608060753781018,0.00038597868517477253,0.4776856153924943,0.027061790608565582
BK,1.1156769683475374e-05,0.020284669583504614,0.000631686212605,0.5170008718395815,-52.94419610966094,948,1.0171837994180641,-0.0004267589902871777,-0.0053188369137587505,-0.030954503497831087,-0.04819112242729687,0.00043587006956374066,36.88055160996956,-0.028344693265618833
BKNG,0.0002970868245259898,0.02341111007145592,0.0008992577338819,0.5196163905841326,-47.770039104064196,707,1.1227543553892172,-0.00018627894189883687,0.007604902327781787,-0.03423988378261211,-0.05479022070459345,0.0004687521526880151,1.8448481370801335,-0.00750468824846492
BKR,0.00018316308239424892,0.029149817916703392,0.0002746037235679,0.5004359197907585,-74.9193555581827,1046,1.1803583221231078,-0.00032500221867124703,0.002199515054599724,-0.04423852502976269,-0.06463565734343218,0.00048669407224131647,4.6391001585570715,-0.010131543602187718
BLK,0.0003948370500539096,0.019999738166589294,0.0011088788212878,0.5361813426329556,-44.81003134576863,654,1.2049651679077167,-0.00012392193681194267,0.013789652079896355,-0.02974111977497871,-0.04723110505386714,0.0004943583716387432,1.0130496281377732,-0.0030420299383090163
BLL,0.0006883617139962108,0.022815819228295686,0.0010987920901499,0.5318221447253705,-45.837018942879396,661,1.2851450097916008,0.00013508387575561606,0.024952603684839016,-0.0353636064016455,-0.05386230801352599,0.0005193320037415947,0.7562326557010297,0.017067971895241254
BMY,0.0002713780032420595,0.015489111911638468,0.0003309690164268,0.5135135135135135,-37.996523084447006,870,0.586282019063895,1.8973141817430178e-05,0.009834675161716658,-0.02315405373031066,-0.03754916800369718,0.0003016570020122609,0.8840531839172947,-0.011040435268985856
BR,0.0006077561323069548,0.01684353207260951,0.0009405781378535,0.5248474280732345,-38.817890364958465,478,0.8649993613457321,0.0002353584860658749,0.029014609949540218,-0.025119614857934486,-0.04033314055884974,0.00038846915084277844,0.46680659823887505,0.014576291333888406
BRO,0.0009081707107177498,0.01607118808298925,0.0016297013221382,0.5571054925893636,-34.73510422003354,289,0.896676149101549,0.0005221356426150026,0.04910172711533305,-0.02347954481496161,-0.038281000339551244,0.0003983355265430389,0.28439926915798486,0.04540481744812199
BSX,0.0005472328609112759,0.01951285269378306,0.0010936485221699,0.5257192676547515,-43.49157637047443,392,0.9989029207764071,0.00011718734510679274,0.02194375412878917,-0.03076760196685131,-0.04805551477577619,0.0004301761204739585,0.6957758706508104,0.008358056483512647
BWA,-1.657444588460992e-05,0.023832436009935176,-0.0002672633406571,0.4908456843940715,-65.92989191120094,1,1.0626341532192887,-0.00047405739345418574,-0.005690650543473246,-0.03763068674837798,-0.054975760326911996,0.00045002650075775575,-34.26871764654608,-0.023617429864697212
BXP,-9.386016871227616e-05,0.021438622924400207,0.0003235416188731,0.5091543156059285,-51.765979136700494,144,0.9766929620278033,-0.0005143439013170308,-0.009931038411873733,-0.03266957481867259,-0.049521398132455346,0.0004232583799823971,-4.896800838953789,-0.03122295462134494
C,3.7426951242976134e-06,0.024979155544727533,-0.0001436263112885,0.4934612031386225,-56.79404491832602,485,1.342091334879409,-0.0005740515513039131,-0.004616045715270762,-0.03386905191393818,-0.05635879078385613,0.0005370690875139954,166.71360904524377,-0.024225839830592007
CAG,9.665772773769842e-05,0.01920902633695745,0.0008028524177596,0.5213600697471665,-46.45608341863478,96,0.42437123476332045,-8.604165450510098e-05,-0.0011655922021848297,-0.02706607052954324,-0.046732934489326985,0.00025122661619954696,3.8174567253975784,-0.016756821681427822
CAH,0.0001467275345951628,0.02138815094641488,0.0004485563536353,0.5108979947689625,-45.50046767182315,2,0.8444093769851438,-0.00021680575630108232,0.0012941705721495997,-0.03199848361258794,-0.05114916107404689,0.0003820559841122994,3.117703859529775,-0.015643350999855025
CAT,0.00035060262931905584,0.021052180306044277,0.0005114135986961,0.5135135135135135,-46.251975655582896,706,1.0272478949520536,-9.164590320136218e-05,0.010999098758666588,-0.0331690289320663,-0.04990027138294619,0.00043900473550231644,1.2640929034074135,-0.005086440863185605
CB,0.0004077962468165691,0.01828194811384541,0.0006660125841264,0.5274629468177855,-43.0230472963388,381,0.8906686447093018,2.434751645628608e-05,0.015794193593092684,-0.025973197121446696,-0.043683199239164874,0.00039646436789488997,0.8195995658284606,-0.0016537029190248744
CBOE,0.000189404154588812,0.01865308156605828,0.0004359772809519,0.5108979947689625,-44.699623469698444,4,0.6608959669134751,-9.51233416002059e-05,0.0037718451662815794,-0.02782667057258076,-0.04287409195784036,0.0003248970239374138,1.8370106646571713,-0.014209052687981222
CBRE,0.0008323875897125899,0.023530331912606055,0.0010206008439985,0.5239755884917175,-53.571984554543086,207,1.2175575428417154,0.000308207360941182,0.03031576321636197,-0.033424683711414514,-0.05521034378894139,0.0004982805212902512,0.6651667165155387,0.023744605496100548
CCI,0.0005476438138373905,0.017412540827486327,0.0013942514438545,0.5405405405405406,-30.393903929369714,205,0.7503787363931573,0.0002245923900913349,0.02461422483002692,-0.02537788086361249,-0.04080028846781403,0.00035276824084210824,0.5536382780339505,0.008083218977512314
CDNS,0.001468042960910801,0.02290487931572684,0.0019893632111405,0.5579773321708805,-32.116968290911565,136,1.2365474652289339,0.000935687231999949,0.0588955446247185,-0.037056622550442286,-0.052002964109492414,0.0005041953163835978,0.35736930760018015,0.06557123174756346
CDW,0.000999193486405358,0.020947983866618464,0.0015856599642987,0.5396687009590235,-44.99066938215351,278,1.1618494924587144,0.0004989965664852237,0.04201577932090592,-0.03236788327362051,-0.04835724970611821,0.00048092912319885883,0.4391722264471262,0.04099707747081009
CE,0.00031293418329841834,0.022088990419671904,0.0005564087691267,0.5135135135135135,-53.59133431576974,277,1.1501867623429132,-0.00018224172338407338,0.008777520410264144,-0.03131350019516663,-0.05300347712624426,0.0004772965302130973,1.559188876771147,-0.00749977103187954
CERN,0.00039785501148116765,0.015158879746534015,0.0,0.4995640802092415,-32.92181001049771,365,0.5846465626818428,0.00014615424318587732,0.018392348055752353,-0.023500334016398186,-0.035070094486621725,0.0003011476060712614,0.5775763243860919,-0.002319679328676341
CF,0.001018555860095714,0.027330998780151113,0.0014124231816898,0.5204882301656495,-62.29040515200464,748,1.0706909513346343,0.0005576043173011354,0.03291164908694645,-0.0382627141394739,-0.06084067079887403,0.0004525359533499793,0.7333750887756194,0.025441811465477502
CFG,0.00028962786925039593,0.02808417279667955,0.0007894415604443,0.5056669572798606,-67.99665753779614,824,1.3793461617832352,-0.00030420524433780866,0.0060738926311885155,-0.04049676317303201,-0.06277114187480674,0.0005486728562330576,2.723221227691566,-0.006561165734678251
CHD,0.0006784337903113958,0.01528845510228088,0.0010294263408419,0.5405405405405406,-24.887892184907145,323,0.4254055495978195,0.0004952891170926119,0.03658879641673685,-0.02092894317484425,-0.03663673990856424,0.0002515487744571388,0.3445242008172601,0.015332622943698302
CHRW,0.00025944728139681145,0.017624086118763854,0.0011161908365828,0.5405405405405406,-39.99800316705869,505,0.6094917832860423,-2.9497973084078558e-06,0.007966351355927213,-0.02638999227204425,-0.04246791505320847,0.00030888615212354756,1.197192777852025,-0.010415420324797748
CHTR,0.000450427484972871,0.01864984101151118,0.0005930431570726,0.5204882301656495,-49.40987306329083,333,0.7385628766170107,0.00013246299951322758,0.017768508896173187,-0.026304802930235467,-0.04308991438856596,0.00034908795252904694,0.772192153806052,0.00123727668273025
CI,0.0005056037993683133,0.022164025891785153,0.0006181173140129,0.5178727114210985,-42.50729517426374,749,1.0175646329860533,6.752408375715189e-05,0.017440702434117213,-0.03200756663938612,-0.05206990192553249,0.00043598868787472647,0.9715987980024452,0.004346271863872978
CINF,0.0006110597484697792,0.021662228079204825,0.0010932327996053,0.5344376634699215,-58.657695765669814,397,1.028831574991321,0.00016812941345865792,0.02271290504481757,-0.02841399056121705,-0.051105299145987486,0.0004394980046550116,0.7679316573061717,0.010941036766889291
CL,0.000125936920216818,0.013805706710728869,0.0004607399633798,0.5213600697471665,-25.31612765404443,648,0.552089252595671,-0.00011174734565566258,0.0004990183634601658,-0.02013598101045549,-0.03231980901497116,0.00029100697389680544,1.5134365478727274,-0.02327705777353212
CLX,0.00016256860287111575,0.0170063748259179,0.0010214416033504,0.5283347863993025,-48.4436792871403,300,0.2876338538908038,3.8737100843713105e-05,0.0025590982363372494,-0.024267330959588152,-0.043257334784026796,0.00020863699561183077,1.7790445363481715,-0.013965518990250768
CMA,0.00031713923867877756,0.02807283819231907,0.0006287319568125,0.5170008718395815,-74.51325753801102,8,1.2929302471856456,-0.00023949028305492382,0.007056344580269686,-0.040221890148030744,-0.06399018956950774,0.0005217568732592198,2.4849786720033062,-0.005108328120883598
CMCSA,0.00018507508431846422,0.01765227173456886,0.0005556358281952,0.5170008718395815,-38.607287696498396,314,0.8570738582840219,-0.00018391049155892707,0.003740451442379625,-0.027632979986205834,-0.0432053822270206,0.00038600059274834103,1.683655574376909,-0.018362093943843333
CME,0.00047275994118547076,0.018401236672719118,0.0009036680824445,0.5318221447253705,-37.60229386067617,428,0.8238581080305543,0.00011807433796156094,0.01922220383493303,-0.024876220495119727,-0.04249414913310691,0.00037565487607741526,0.7162313926944648,0.0028609549580839487
CMG,0.0016150207823825452,0.02457460099875124,0.0011259410858981,0.5353095030514385,-50.18311722816316,109,0.9308661650952813,0.0012142663028559533,0.060874769173706794,-0.03347667191978855,-0.051983206408761654,0.0004089846979676298,0.37393389660095333,0.056259874262180425
CMI,0.0003115059142990609,0.018970033636697164,0.000513971072265,0.5108979947689625,-46.61818070845091,628,0.9284352874235285,-8.820202905222981e-05,0.010145385028687297,-0.02813519132767453,-0.04202307635314943,0.00040822755199134683,1.1552338484075668,-0.008408169915100053
CMS,0.0004084753649382045,0.015038430088298627,0.000799476116543,0.5300784655623365,-29.55271871687892,530,0.5344065449948011,0.00017840381993466017,0.019245875014293454,-0.02079751897945685,-0.035893559221748327,0.000285499337266068,0.5536548808882485,-0.0015091871114943822
CNC,0.0007861713932943781,0.023603645728015217,0.0007366389773284,0.5187445510026155,-41.81645135928685,685,0.9732399346447911,0.0003671742505384751,0.02826359037642005,-0.0349682024886246,-0.051754858436244874,0.0004221828648219993,0.708664925238555,0.018226028941167947
CNP,0.00027924709932995604,0.02066462396816955,0.0010313058263369,0.5292066259808196,-61.46496646984305,786,0.9108454336719815,-0.0001128880983899274,0.007752354000203338,-0.02633473032088604,-0.04827653529814445,0.00040274883656845706,1.5292072317688654,-0.009138705412494405
COF,0.0004598918591572342,0.0269318360657226,0.0003587512354883,0.5091543156059285,-60.40651965908979,501,1.4059148118667284,-0.00014537953195698254,0.01265581148191465,-0.03922021751167529,-0.06339454609188065,0.0005569481992253205,1.5771616292580923,0.0014914737816933052
COO,0.0004716308825561905,0.01806098302217406,0.0013336177195757,0.5414123801220575,-36.72135648729736,182,0.8897192994269377,8.859086226486345e-05,0.01952182021740973,-0.02576295842420325,-0.04286274343322384,0.00039616867512145355,0.691640687224073,0.003054961902829189
COP,0.0008534544564689494,0.0285448790389429,0.0001696068092247,0.5030514385353095,-71.62348197585335,823,1.2190982331822162,0.0003286109330385763,0.025728146769142084,-0.03945003796404075,-0.06336356023092292,0.0004987604004324901,0.9547200945192164,0.018087143276296454
COST,0.0010144748537120245,0.015045740773607291,0.0017348336086702,0.5544899738448126,-31.51385559807467,140,0.7059978112258345,0.0007105302094722566,0.05951366889393258,-0.02164174632362043,-0.03383521889730673,0.000338944904808121,0.2231443338376222,0.04772544413910612
CPB,0.00017229428206674396,0.017306192960038668,0.0006143513858685,0.5170008718395815,-32.36897734685604,419,0.31514720875702046,3.661779026219923e-05,0.0030767403981959264,-0.02361863802165842,-0.041585511934392756,0.00021720658600013753,1.738329973446646,-0.013457805579266112
