,original_n,deco_pca_Kmean,deco_pca_Agglo,deco_pca_MiniB,deco_pca_Gauss,deco_pca_Spect,deco_fast_Kmean,deco_fast_Agglo,deco_fast_MiniB,deco_fast_Gauss,deco_fast_Spect,deco_isom_Kmean,deco_isom_Agglo,deco_isom_MiniB,deco_isom_Gauss,deco_isom_Spect,tabl__Kmean,tabl__Agglo,tabl__MiniB,tabl__Gauss,tabl__Spect,neur_conv_Kmean,neur_conv_Agglo,neur_conv_MiniB,neur_conv_Gauss,neur_conv_Spect,neur_mlp_Kmean,neur_mlp_Agglo,neur_mlp_MiniB,neur_mlp_Gauss,neur_mlp_Spect,neur_lstm_Kmean,neur_lstm_Agglo,neur_lstm_MiniB,neur_lstm_Gauss,neur_lstm_Spect,orig__Kmean,orig__Agglo,orig__MiniB,orig__Gauss,orig__Spect,orig__origi,orig__rando,sp500
2019-03-31,-0.3631346430608528,-0.2606716518324646,-0.2848047603425831,-0.201189149709995,-0.24108038002462961,-0.3033353426376364,-0.2698415827631762,-0.47362199251642517,-0.254475667370135,-0.2323634669531281,-0.27051489791521427,-0.3279257292538954,-0.3015235681147492,-0.25581329307187484,-0.36371326507168533,-0.23278958589668744,-0.2524135571206824,-0.4862240968705951,-0.34552545000386176,-0.1590722260320089,-0.5192700441851225,-0.320646906840503,-0.24585865169780682,-0.2731159133938072,-0.41304969678480263,-0.26337371081391187,-0.1902039086154425,-0.2942962562050986,-0.3028180830745035,-0.2191142746362854,-0.34216704487720573,-0.23769225011297823,-0.3725602325295465,-0.25273079206988264,-0.3015726257044233,-0.19931515663626678,-0.2062618901675199,-0.3259039928183787,-0.2255151536334846,-0.3284104047521646,-0.3248042198256453,-0.3631346430608528,-0.17554013064788643,-0.20141371982008188
2019-04-30,-0.010069034940799103,-0.1501874117526335,-0.14199627199746223,-0.17065847560120254,-0.15452123976633894,-0.022191142289231025,-0.01937223686412586,0.04364840900683449,0.03658482061724581,-0.08946840282330842,-0.09046918686127536,-0.24460171883373377,-0.24414007918577119,-0.2946581746818064,-0.24605746006490584,-0.16314830551515458,0.06682876357220587,-0.025829411763179554,-0.04149167152069655,-0.08349678161714613,-0.12773408815230453,-0.040750285345447924,-0.035871587577734065,0.06257047433691848,0.16531090501322704,-0.023712322488450475,-0.05332156458501535,-0.06642726790733437,-0.05980051171615023,-0.04489446176577631,0.0495725061090728,-0.016840019757845392,-0.09340202260052771,-0.12743951706147963,0.11394846978145982,-0.07211534565458735,-0.025380536451567574,-0.09887617511577314,-0.05860641831082505,-0.14691844165774007,-0.006978140653263325,-0.010069034940799103,0.08364460346104723,0.3201395969791163
2019-05-31,-0.4021960667108655,-0.43994444782854836,-0.3631465883768646,-0.3885169804025634,-0.4261232827509385,-0.4153685743862455,-0.418453614094325,-0.2780138946815718,-0.4604349268467574,-0.45886544959399084,-0.32755244023323044,-0.4468493744409131,-0.49511081285676245,-0.47945640433026965,-0.3971006857428358,-0.39648379603227313,-0.39316604026295565,-0.2340629303727397,-0.31208932913386483,-0.4049996108245399,-0.3449098093461224,-0.4677301900164132,-0.16724828041021195,-0.33740435388148626,-0.40021475080349783,-0.47212814522438934,-0.39052425801270507,-0.22411216331569722,-0.4360397270050398,-0.3177508026783617,-0.3713161286550686,-0.5162913180237864,-0.4905963875810218,-0.4968711931456261,0.15626212675806198,-0.44726856373636187,-0.3579179676181698,-0.3850911556039801,-0.40119160082277183,-0.4077783497618011,-0.46865333105756524,-0.4021960667108655,-0.40519535051613986,-0.39648727726398375
2019-06-30,0.17371097146891806,0.25096917516471773,0.15069448530871396,0.1755065279168316,0.1905093018660566,0.2014771228084069,0.21594176213976557,0.22474563677925774,0.2074218121629039,0.22121076486219482,0.19090578259379307,0.220643199306535,0.2585825437627342,0.22471200150095855,0.18023098590642533,0.20422822199724008,0.20005972891937163,0.17937558751969226,0.20391396259188296,0.26934324122410586,0.13921471057841597,0.210888977812942,0.10808991076609255,0.198564572858439,0.2434372598380819,0.21238468847306338,0.2521352704648737,0.16218260866451542,0.34167133685145706,0.17900743810877534,0.1977161730500028,0.2532339532839516,0.25406097148202894,0.23544187978645006,0.1484399422041397,0.21050480110269948,0.14578212099429197,0.17096692361912497,0.13659606464225654,0.21848224303232386,0.22579600430480895,0.17371097146891806,0.14800937008649556,-0.017766825886309897
2019-07-31,-0.07151471018567859,-0.09687113982179706,0.02182318809571055,-0.10632587362827566,-0.1448574852309553,-0.10409850947834122,-0.06183691879224563,-0.030090279213944762,-0.03657389827284641,-0.0408651999841454,-0.09171045641607063,-0.03329632809647329,-0.03744664483692866,-0.07764434926071076,-0.06868759526940714,-0.0075317502072901645,-0.10178599344795342,-0.022169050499742667,-0.019294431515744174,0.024928167401755994,0.08555863053089609,0.035548815767850746,0.09561992846455429,0.0033880201404184796,0.06320468437021759,-0.001657150741446484,0.05302634932522967,-0.046395065320635115,0.06322835551317052,0.05791918362845384,-0.010818294112478406,-0.07479183993832693,-0.04451908207225665,-0.0783844224780377,0.2755266718042409,-0.10052189455767697,-0.15733920167296395,0.006731792360867681,-0.14854971262806768,-0.1932955393771894,-0.14339156633325448,-0.07151471018567859,-0.04594340501208572,-0.5530014668904218
2019-08-31,-0.20477569394551728,-0.24428725634953924,-0.3159320820294943,-0.3187868599392189,-0.26315618232705884,-0.27511914260876214,-0.28845144766157566,-0.2687139693184571,-0.2570743243785429,-0.31193293406326034,-0.26905282980144507,-0.2905814591641477,-0.273253965851783,-0.26869481941372353,-0.3136958076302664,-0.20609279043083056,-0.17018671078181133,-0.09932263231619073,-0.14430667885870807,-0.23663068155275574,-0.21887224701530167,-0.3040506354341587,-0.12557669806671412,-0.24395388507145882,-0.29870068401965716,-0.28916756852659414,-0.12704625024621927,-0.1554516004050546,-0.12947966031546215,-0.179451361551342,-0.2449542294186438,-0.2666487158642269,-0.3072605070735642,-0.3061019340126075,-0.0033267969116926614,-0.2973902258268342,-0.300496558947722,-0.30581977366711105,-0.3059257290456359,-0.272791350398664,-0.2799593891922034,-0.20477569394551728,-0.25036129292347875,0.03783914134204213
2019-09-30,-0.005013060858513716,0.022547834173267244,-0.011148200019948575,-0.020411190986355545,0.008966615496533692,0.006373644941941386,-0.0355141463834023,-0.055888518100829995,-0.029653858403502754,0.0007117137551819635,-0.06624523513863957,-0.04663787712891413,-0.028530952884736862,-0.05722013423044752,-0.03493994782656949,0.04326344826698305,-0.1387467927802278,-0.03356118621724389,-0.1792483513263521,-0.021948513525092715,-0.09731245899986266,-0.04397095110213932,-0.03363653584575289,-0.014495940412981792,-0.07355548000338863,-0.029671003829879517,-0.0899930567971197,-0.04305033677903314,-0.14362993640757707,-0.1861445981045246,-0.04804490842355968,0.025771066901263375,0.02512011886485267,-0.002207035954049903,-0.28864677728593824,0.010819220738091329,-0.048747913372011877,-0.00950622492874119,-0.04227708922424601,0.014505372464920686,-0.04909932539609892,-0.005013060858513716,0.0032628402281028607,-0.5225009203978517
2019-10-31,-0.08454581864681106,-0.05813526624356959,-0.13580701490854416,0.014055618124580222,0.018268242820913796,0.014590931723570743,-0.0341725517047432,-0.0020913108774209587,-0.020105070438377524,-0.0364824011568009,0.002525924486909866,0.007464767219416527,-0.096801769494908,-0.041895280006339686,-0.051489624600258875,-0.1327167706644625,-0.17925053839755387,-0.028968767284408673,0.11037512799602127,-0.012236296524740679,0.15593016848992192,-0.1265556282029098,-0.04153894677335889,-0.10299338516195741,-0.03491520416024381,-0.13553568545442832,-0.037807048170789885,-0.07044449271866543,-0.02280244208787977,-0.026487821864619527,-0.021181255143428182,-0.09065257991985232,0.006733186396430966,-0.06463358100681314,-0.009168979834348596,-0.030336159286275654,-0.004521553247636502,-0.10821516019054264,0.03482576487957422,-0.04368895064842288,0.06321114662415132,-0.08454581864681106,-0.1388418171571372,0.18367982422194062
2019-11-30,0.011283394506002985,0.1286040029811586,0.2135049521363069,0.22423666017766106,0.18033832686895448,0.2067213905112342,0.22469172954395053,0.20017773446029646,0.19492484687823178,0.18084293569546386,0.21683857440655166,0.1749810136543051,0.10971625779719557,0.15386334284320677,0.1655056613923236,0.06100629447346551,0.24289833785927972,0.161314894221514,0.016121564317863907,0.08079623732739531,0.14098359518005063,0.14723940741253175,0.15756474263589682,0.08111228141498908,0.1307513652982075,0.20573181298095067,0.21102193961522414,0.08123540130996615,0.10477076044231169,0.2372717668761336,0.17306764493048862,0.0773193375434383,0.1354525542837017,0.1414607476764964,0.1601717492908001,0.17674093026137888,0.18553733446595363,0.15548309116895062,0.21180778667732608,0.08239397082564019,0.2658170188298885,0.011283394506002985,0.14649510603243313,-0.13281780844680446
2019-12-31,0.18838784033013725,0.2805506304426876,0.2911141343923801,0.27075793345533034,0.22400027550713242,0.24993418699816278,0.2212223939980501,0.2803222770150852,0.17114384685419998,0.20446249198243835,0.2663669604069519,0.17350718901363144,0.18154855649249724,0.1793822288567251,0.2854510849841671,0.34237085201866,0.14078592117148453,0.23012954326628357,0.3518528947141911,0.3774617325345739,0.2110552437005768,0.19032559725070008,0.3540568626082615,0.24090972870998606,0.12992732381860866,0.2376738109947557,0.31593472235118975,0.4297206022043623,0.32969542051546286,0.2298157829180111,0.3798460406130366,0.2913767732591752,0.2754732288686769,0.27742643240019715,0.2892474798389192,0.2392830148456513,0.29398782348578945,0.21271555426965644,0.3128103228770937,0.23561431172501057,0.2971782740132241,0.18838784033013725,0.2669010259039491,0.3195672953013895
