index,original_n,deco_pca_Kmean,deco_pca_Agglo,deco_pca_MiniB,deco_pca_Gauss,deco_pca_Spect,deco_fast_Kmean,deco_fast_Agglo,deco_fast_MiniB,deco_fast_Gauss,deco_fast_Spect,deco_isom_Kmean,deco_isom_Agglo,deco_isom_MiniB,deco_isom_Gauss,deco_isom_Spect,tabl__Kmean,tabl__Agglo,tabl__MiniB,tabl__Gauss,tabl__Spect,neur_conv_Kmean,neur_conv_Agglo,neur_conv_MiniB,neur_conv_Gauss,neur_conv_Spect,neur_mlp_Kmean,neur_mlp_Agglo,neur_mlp_MiniB,neur_mlp_Gauss,neur_mlp_Spect,neur_lstm_Kmean,neur_lstm_Agglo,neur_lstm_MiniB,neur_lstm_Gauss,neur_lstm_Spect,orig__Kmean,orig__Agglo,orig__MiniB,orig__Gauss,orig__Spect,orig__origi,orig__rando,sp500
2018-10-31,-0.07731033177810065,-0.09351733702494958,-0.09940116087390194,-0.10181116754947772,-0.09276526013264541,-0.09598876933954736,-0.10069206209075976,-0.12542988891539508,-0.09144766171538288,-0.0935247647339027,-0.1018542596224411,-0.07767034181107713,-0.0694528927179976,-0.06983561693553397,-0.08065095106567488,-0.08533315006821529,-0.09676393568055097,-0.0872311140114812,-0.0919931516659589,-0.09277466327997252,-0.07969487571108735,-0.09247549510673414,-0.10430131214406058,-0.09369324628431008,-0.10039592607103409,-0.09831788511147876,-0.09562749716762764,-0.10618959652410265,-0.07700156490238064,-0.09332582040623483,-0.11386056648530196,-0.10926120515753956,-0.09139057877771417,-0.1078055775143073,-0.14237747211820662,-0.0938297525760955,-0.1030375733170884,-0.10063748359989921,-0.11468016116541113,-0.08056757427435879,-0.10412064359722328,-0.07731033177810065,-0.10090719630589384,-0.06043346666994476
2018-11-30,-0.04172126290533462,-0.05033149372753454,-0.0586262611877546,-0.05584840117838208,-0.05023157120374899,-0.05486496451198597,-0.056100746482211306,-0.057244925430372184,-0.053658132998194,-0.055105720471013475,-0.05628553974592221,-0.04892098384155674,-0.04666647492973497,-0.043531821333954834,-0.04592493454089697,-0.04669911731455967,-0.04756959821517881,-0.04979347408163992,-0.04557000608569162,-0.04890570650677917,-0.043116103881387535,-0.05361655682896749,-0.07253692735678896,-0.05528191558706852,-0.048804640559383716,-0.05181194561848801,-0.0527678410103426,-0.05961775095196464,-0.04766363643027749,-0.05264743263920679,-0.057675796385941225,-0.054662244136794325,-0.054430241625976206,-0.05537095668477432,-0.08210428447016871,-0.051733557781887485,-0.05635929214927504,-0.05261775238637301,-0.059469354897860094,-0.043004223594696134,-0.0521418530472445,-0.04172126290533462,-0.05572387946102375,-0.03419564122963514
2018-12-31,-0.07625792640368279,-0.07913768690914247,-0.08748680867939873,-0.08453731369075124,-0.07833531951345574,-0.08287715409499541,-0.08396907005827603,-0.08111529918861471,-0.08368799924919113,-0.07915522775825878,-0.08383907728486528,-0.07590067464038863,-0.07107953795324218,-0.07046980053612484,-0.07419595609183405,-0.08004133640673738,-0.07802024271388874,-0.07910727622712665,-0.07396440729289655,-0.07986471260745598,-0.07629332156893376,-0.0841367782428264,-0.0971461451676986,-0.08669003159042521,-0.08046868487879799,-0.08033119922792265,-0.08004879413054777,-0.08895033264062358,-0.07309039199096823,-0.07750340264145594,-0.0849754325816634,-0.08425928862733234,-0.08199347943617186,-0.08314168181063997,-0.10948661878918498,-0.08931154267107722,-0.08568118910846378,-0.08657206946772267,-0.0863489935878875,-0.07247734085060642,-0.07967070327289238,-0.07625792640368279,-0.09025119665789783,-0.06628725626069587
2019-01-31,-0.03087384544479188,-0.040708191880571065,-0.03714024308567443,-0.04665642194478781,-0.03789518129651437,-0.040369839197708535,-0.04198869109578818,-0.03455223935846807,-0.04657564421417748,-0.03861919901323718,-0.04145334020063651,-0.03171400270051694,-0.030690866532840255,-0.02929501950610558,-0.029955145466147304,-0.035651444421163636,-0.03513099580903167,-0.03617440422683216,-0.03441097860200115,-0.03935640349690883,-0.035743309735131956,-0.03738547002571646,-0.04707527020195679,-0.04445866500480611,-0.03347234920772679,-0.037563194902178076,-0.04132735313751268,-0.03871028424446987,-0.03658361552617251,-0.03647210056031458,-0.04024171993484482,-0.04177680290862895,-0.03243445625743868,-0.04262109288527571,-0.050799642033398595,-0.04335111891239851,-0.04200592576028561,-0.040286298568465106,-0.05150869748126652,-0.03130289277193654,-0.03843213209119545,-0.03087384544479188,-0.045924630166050195,-0.024127570741896753
2019-02-28,-0.019342664350215366,-0.020063191704634997,-0.02372144255237585,-0.020763828572095133,-0.018710071263653205,-0.02006227578581221,-0.01956525613613269,-0.030065597855935766,-0.022824236793554498,-0.020706381220547465,-0.019161046207451626,-0.018371728045140645,-0.01616064366132053,-0.015403793662058352,-0.018082656267687902,-0.019765076471001564,-0.02372010082207776,-0.020640707411243908,-0.01782881856299523,-0.018421778048650972,-0.02106932992314059,-0.024464063097292543,-0.028045390990889096,-0.01596754840354242,-0.013936062797077375,-0.020007229555463524,-0.018174436055088172,-0.02697248311091438,-0.01811425665630395,-0.018686884167701145,-0.021947360445897846,-0.020623961430285442,-0.024880263861114527,-0.02402939509600921,-0.05685619489329996,-0.02626968519215578,-0.019428410944492436,-0.022123218846683113,-0.0228666330287004,-0.021763802573579016,-0.02049888204919792,-0.019342664350215366,-0.027410385923869574,-0.014323027580500192
2019-03-31,-0.03202638021185067,-0.03482226841457592,-0.039874124867972705,-0.040135342200980584,-0.03638967537189719,-0.03706924832265934,-0.03660827866917149,-0.03934694030160235,-0.03349824054320072,-0.03921250490589878,-0.04087202701499115,-0.036372439136606594,-0.03202025116260199,-0.030844452748786444,-0.033441668105428146,-0.03525007989726525,-0.031179578948143827,-0.03227016444633357,-0.03025316066668171,-0.035363572983366565,-0.03554319680913631,-0.03812592067596576,-0.04437152380196985,-0.03860914219376643,-0.034399198043982615,-0.03482230290353938,-0.031607069713499025,-0.040080966694977405,-0.03195945827814961,-0.032112995195153315,-0.03591284666014016,-0.03883873760570067,-0.03643705194977265,-0.040697057170491324,-0.06782027037496885,-0.041303716748429586,-0.03859081231478023,-0.03895634017605343,-0.045455356546297176,-0.0329862267177341,-0.03609764261843906,-0.03202638021185067,-0.04124388619481212,-0.02843466726467747
2019-04-30,-0.02095547723145108,-0.02365176001038094,-0.030749248569178933,-0.027870494994623574,-0.024478024935563503,-0.02642725097692089,-0.027103803639129675,-0.031145817250130436,-0.025898347475591388,-0.02589726827155192,-0.02431438593990698,-0.023442911952603618,-0.021591842707713638,-0.02079052654761615,-0.023705507147438132,-0.026322346452160694,-0.021512296576905787,-0.026382080136572506,-0.018470495815515853,-0.02215013115962161,-0.025081571917719092,-0.025191242687668147,-0.032388164423968635,-0.02292668994455982,-0.023577456341603686,-0.02825980337461631,-0.027063994087932808,-0.0361673606378905,-0.025586567877682542,-0.027752928720544023,-0.03431781124146471,-0.02894075612158986,-0.029561166701264185,-0.03024761183689817,-0.054767313033557086,-0.02749173978682473,-0.027440424096275562,-0.027597206016152342,-0.02930742219515725,-0.02217910022889147,-0.02834824987679352,-0.02095547723145108,-0.027627615329973043,-0.021930474002717304
2019-05-31,-0.03737571640887971,-0.04082940153703618,-0.049954837728394264,-0.0477611013216539,-0.0444588814587451,-0.04451069818823816,-0.046109246965713724,-0.045405573443878744,-0.048817633314249376,-0.04665325326458181,-0.04156602585564895,-0.03861466713433859,-0.036823980704997705,-0.03490266184251967,-0.039545082247388175,-0.04355910752548964,-0.03914643675229734,-0.04319261783084005,-0.03887908652660066,-0.04077780408735787,-0.03878982768331529,-0.04474075871769967,-0.05692465688497961,-0.0444271308720291,-0.04108508205673034,-0.04734488003266468,-0.0391265588025691,-0.05119780809663599,-0.03903040190309426,-0.03914870951273708,-0.049022864731693816,-0.05215579199662623,-0.04619579717733335,-0.0526966865191264,-0.10407737297904729,-0.050582297979306245,-0.04441084191747002,-0.05107819411859027,-0.05181161911969856,-0.036010741801187685,-0.04589093689135593,-0.03737571640887971,-0.051180137601981035,-0.03712891090384818
2019-06-30,-0.02722604733949796,-0.02998929009425988,-0.03937492835587164,-0.03424200939357347,-0.03131509054301074,-0.033602590310734426,-0.03406198925111292,-0.042000503669309186,-0.03349226334059463,-0.033535000194758524,-0.03418154272878182,-0.03043961324051203,-0.02656148940516012,-0.02705918334486701,-0.029719625210197775,-0.03355163131433969,-0.03244784485611096,-0.03706910593102186,-0.030026570546081044,-0.030698991662888253,-0.03243153941833277,-0.033918531291530996,-0.048426720235133947,-0.03410227835990132,-0.03336803705597624,-0.03700775547984714,-0.03318688006640924,-0.040749943335821937,-0.029968286586292914,-0.037360658827594206,-0.04249941551531855,-0.03633528723909685,-0.03751329566110462,-0.03533092569557328,-0.07721308887921119,-0.035663713910745964,-0.03734809795540328,-0.039069050425437735,-0.0381674476040057,-0.02813220210759937,-0.03553675185557448,-0.02722604733949796,-0.03703533165090256,-0.015719950117137338
2019-07-31,-0.026649438965679395,-0.021147046923525203,-0.027545121112030557,-0.030469670516270475,-0.023964831980193946,-0.026098167581569687,-0.02620598924751727,-0.025595329394110244,-0.02855958380895174,-0.027279894480375932,-0.02497055534399306,-0.021315411275317442,-0.01903545522919181,-0.019340803326916234,-0.020490785245207532,-0.026136887810978227,-0.02187421862006711,-0.02859577556203441,-0.022303997750199978,-0.02362685811011711,-0.025318331714646813,-0.025630059257572113,-0.03156835440956163,-0.022804759073104086,-0.023020056063881134,-0.02464088364444772,-0.0222762731136239,-0.03732008300500134,-0.023931255430025278,-0.023661353568631083,-0.02837590503474141,-0.028032515810756387,-0.028402882065815205,-0.02813656466087533,-0.09690093553791612,-0.03311530152833431,-0.024929072652218665,-0.028270215317725444,-0.029416312864982808,-0.0183501231811235,-0.02707786261820322,-0.026649438965679395,-0.0294418820301644,-0.022248083776633898
